R2_train,R2_test,RMSE_train,RMSE_test,MAPE_train,MAPE_test,estimator,learning_rate,n_estimators,diff
0.7229196914289202,0.7352245982972998,1079709.680906095,1083197.1917804761,0.321910284444843,0.31316740509423,LinearRegression(),0.1,30.0,0.012304906868379595
0.6644635009805705,0.6508949022701004,1188157.594955503,1243789.2614170418,0.4057165980973895,0.4115035754804693,,1.0,30.0,0.013568598710470114
0.6644635009805705,0.6508949022701004,1188157.594955503,1243789.2614170418,0.4057165980973895,0.4115035754804693,,1.0,40.0,0.013568598710470114
0.6644635009805705,0.6508949022701004,1188157.594955503,1243789.2614170418,0.4057165980973895,0.4115035754804693,,1.0,50.0,0.013568598710470114
0.6644635009805705,0.6508949022701004,1188157.594955503,1243789.2614170418,0.4057165980973895,0.4115035754804693,,1.0,80.0,0.013568598710470114
0.6644635009805705,0.6508949022701004,1188157.594955503,1243789.2614170418,0.4057165980973895,0.4115035754804693,,1.0,60.0,0.013568598710470114
0.7183323060608522,0.7320762664917896,1088610.9116407211,1089618.0799638606,0.3330891757454419,0.32282999351960817,LinearRegression(),0.1,40.0,0.013743960430937396
0.7215898035053926,0.7358967898281217,1082297.6923932785,1081821.3489290352,0.32624210669835857,0.315188668624353,LinearRegression(),1.0,80.0,0.014306986322729087
0.7215898035053926,0.7358967898281217,1082297.6923932785,1081821.3489290352,0.32624210669835857,0.315188668624353,LinearRegression(),1.0,50.0,0.014306986322729087
0.7215898035053926,0.7358967898281217,1082297.6923932785,1081821.3489290352,0.32624210669835857,0.315188668624353,LinearRegression(),1.0,40.0,0.014306986322729087
0.7215898035053926,0.7358967898281217,1082297.6923932785,1081821.3489290352,0.32624210669835857,0.315188668624353,LinearRegression(),1.0,60.0,0.014306986322729087
0.7215898035053926,0.7358967898281217,1082297.6923932785,1081821.3489290352,0.32624210669835857,0.315188668624353,LinearRegression(),1.0,30.0,0.014306986322729087
0.7160140277708997,0.7303239960364265,1093081.6612074832,1093175.4242664815,0.33859134906653604,0.3282028868908371,LinearRegression(),0.1,50.0,0.014309968265526773
0.7107945241791308,0.725887499512091,1103081.0399324107,1102130.7720744282,0.3504669478222685,0.339115116623816,LinearRegression(),0.1,80.0,0.015092975332960168
0.7136232424817643,0.7287654176665451,1097673.1668834116,1096329.8482396943,0.34413947045626425,0.33284060788210434,LinearRegression(),0.1,60.0,0.015142175184780782
0.6896171537464137,0.6742598729533678,1142754.7093988825,1201446.228195046,0.3576060432371987,0.3630338248448626,,0.5,30.0,0.015357280793045991
0.6876662054054674,0.7034840482663327,1146340.5438317475,1146285.3413538297,0.37567034694848717,0.3674863561219281,LinearRegression(),1.5,30.0,0.015817842860865294
0.6876662054054674,0.7034840482663327,1146340.5438317475,1146285.3413538297,0.37567034694848717,0.3674863561219281,LinearRegression(),1.5,40.0,0.015817842860865294
0.6876662054054674,0.7034840482663327,1146340.5438317475,1146285.3413538297,0.37567034694848717,0.3674863561219281,LinearRegression(),1.5,50.0,0.015817842860865294
0.6876662054054674,0.7034840482663327,1146340.5438317475,1146285.3413538297,0.37567034694848717,0.3674863561219281,LinearRegression(),1.5,60.0,0.015817842860865294
0.6876662054054674,0.7034840482663327,1146340.5438317475,1146285.3413538297,0.37567034694848717,0.3674863561219281,LinearRegression(),1.5,80.0,0.015817842860865294
0.7165038417440586,0.7000342472709824,1092138.5904431867,1152934.2597867467,0.3164490963335541,0.32220038540793666,,0.1,50.0,0.016469594473076166
0.7259185231659282,0.7091119576576048,1073850.9530834272,1135354.9089614663,0.2999800482639178,0.3052576546488748,,0.1,30.0,0.01680656550832338
0.6397260290157696,0.6227749417863038,1231177.3219231411,1292912.025053433,0.4475617822323462,0.45807144712590464,,1.5,30.0,0.01695108722946581
0.6397260290157696,0.6227749417863038,1231177.3219231411,1292912.025053433,0.4475617822323462,0.45807144712590464,,1.5,40.0,0.01695108722946581
0.6397260290157696,0.6227749417863038,1231177.3219231411,1292912.025053433,0.4475617822323462,0.45807144712590464,,1.5,50.0,0.01695108722946581
0.6397260290157696,0.6227749417863038,1231177.3219231411,1292912.025053433,0.4475617822323462,0.45807144712590464,,1.5,60.0,0.01695108722946581
0.6397260290157696,0.6227749417863038,1231177.3219231411,1292912.025053433,0.4475617822323462,0.45807144712590464,,1.5,80.0,0.01695108722946581
0.7085440615732466,0.6915136646800031,1107364.5550001876,1169194.2565188808,0.3322236736877751,0.3366989553916435,,0.1,80.0,0.017030396893243482
0.7134734111823751,0.6960242010869144,1097960.2786797213,1160615.0874777043,0.32233066733952737,0.32727562608122146,,0.1,60.0,0.017449210095460632
0.7206139464954165,0.7026891319347981,1084192.816794138,1147820.8254498832,0.3093306377150475,0.31511050686154296,,0.1,40.0,0.01792481456061845
0.7097710440999843,0.7280579013413568,1105031.1834794753,1097758.8070437948,0.35322218228843055,0.3381812814319488,LinearRegression(),0.5,30.0,0.01828685724137258
0.7097710440999843,0.7280579013413568,1105031.1834794753,1097758.8070437948,0.35322218228843055,0.3381812814319488,LinearRegression(),0.5,80.0,0.01828685724137258
0.7097710440999843,0.7280579013413568,1105031.1834794753,1097758.8070437948,0.35322218228843055,0.3381812814319488,LinearRegression(),0.5,60.0,0.01828685724137258
0.7097710440999843,0.7280579013413568,1105031.1834794753,1097758.8070437948,0.35322218228843055,0.3381812814319488,LinearRegression(),0.5,50.0,0.01828685724137258
0.7097710440999843,0.7280579013413568,1105031.1834794753,1097758.8070437948,0.35322218228843055,0.3381812814319488,LinearRegression(),0.5,40.0,0.01828685724137258
