R2_train,R2_test,RMSE_train,RMSE_test,MAPE_train,MAPE_test,eta,learning_rate,max_depth,n_estimators,objective,subsample,diff
0.45836048545355235,0.4499214118395308,1530814.3653963932,1514522.7940127426,0.2694803770897731,0.2706631944239862,0.01,0.03,3,40,reg:squarederror,0.5,0.00843907361402152
0.45836048545355235,0.4499214118395308,1530814.3653963932,1514522.7940127426,0.2694803770897731,0.2706631944239862,0.1,0.03,3,40,reg:squarederror,0.5,0.00843907361402152
0.45836048545355235,0.4499214118395308,1530814.3653963932,1514522.7940127426,0.2694803770897731,0.2706631944239862,0.05,0.03,3,40,reg:squarederror,0.5,0.00843907361402152
0.4609627398944459,0.449817271881901,1527132.61344814,1514666.1506882857,0.27001185274854356,0.27193318783618065,0.01,0.03,3,40,reg:squarederror,0.8,0.011145468012544901
0.4609627398944459,0.449817271881901,1527132.61344814,1514666.1506882857,0.27001185274854356,0.27193318783618065,0.05,0.03,3,40,reg:squarederror,0.8,0.011145468012544901
0.4609627398944459,0.449817271881901,1527132.61344814,1514666.1506882857,0.27001185274854356,0.27193318783618065,0.1,0.03,3,40,reg:squarederror,0.8,0.011145468012544901
0.7155283948651383,0.6983590748703996,1109396.5746152047,1121524.0107718778,0.20670635962686978,0.21385216776951396,0.05,0.05,3,40,reg:squarederror,0.5,0.017169319994738697
0.7155283948651383,0.6983590748703996,1109396.5746152047,1121524.0107718778,0.20670635962686978,0.21385216776951396,0.01,0.05,3,40,reg:squarederror,0.5,0.017169319994738697
0.7155283948651383,0.6983590748703996,1109396.5746152047,1121524.0107718778,0.20670635962686978,0.21385216776951396,0.1,0.05,3,40,reg:squarederror,0.5,0.017169319994738697
0.7161033974819846,0.6973343759521196,1108274.7955024478,1123427.350134831,0.207032582010049,0.21502086775402296,0.01,0.05,3,40,reg:squarederror,0.8,0.018769021529865038
0.7161033974819846,0.6973343759521196,1108274.7955024478,1123427.350134831,0.207032582010049,0.21502086775402296,0.1,0.05,3,40,reg:squarederror,0.8,0.018769021529865038
0.7161033974819846,0.6973343759521196,1108274.7955024478,1123427.350134831,0.207032582010049,0.21502086775402296,0.05,0.05,3,40,reg:squarederror,0.8,0.018769021529865038
0.7547539710423236,0.7317464171376722,1030073.823622254,1057635.962089803,0.2066335218450999,0.21518417224551345,0.05,0.03,3,80,reg:squarederror,0.5,0.023007553904651368
0.7547539710423236,0.7317464171376722,1030073.823622254,1057635.962089803,0.2066335218450999,0.21518417224551345,0.1,0.03,3,80,reg:squarederror,0.5,0.023007553904651368
0.7547539710423236,0.7317464171376722,1030073.823622254,1057635.962089803,0.2066335218450999,0.21518417224551345,0.01,0.03,3,80,reg:squarederror,0.5,0.023007553904651368
0.49786353019401997,0.47091219988338706,1473934.69373977,1485344.9279859136,0.27292335432329773,0.2719921208286393,0.01,0.03,5,40,reg:squarederror,0.5,0.026951330310632904
0.49786353019401997,0.47091219988338706,1473934.69373977,1485344.9279859136,0.27292335432329773,0.2719921208286393,0.1,0.03,5,40,reg:squarederror,0.5,0.026951330310632904
0.49786353019401997,0.47091219988338706,1473934.69373977,1485344.9279859136,0.27292335432329773,0.2719921208286393,0.05,0.03,5,40,reg:squarederror,0.5,0.026951330310632904
0.7552772048209255,0.7280457151857838,1028974.4027633162,1064906.3009023967,0.20865292506580432,0.21906665619558602,0.1,0.03,3,80,reg:squarederror,0.8,0.02723148963514177
0.7552772048209255,0.7280457151857838,1028974.4027633162,1064906.3009023967,0.20865292506580432,0.21906665619558602,0.01,0.03,3,80,reg:squarederror,0.8,0.02723148963514177
0.7552772048209255,0.7280457151857838,1028974.4027633162,1064906.3009023967,0.20865292506580432,0.21906665619558602,0.05,0.03,3,80,reg:squarederror,0.8,0.02723148963514177
0.7834718256518602,0.7543654407215805,967886.7978721024,1012064.4697515819,0.21090792268480224,0.2223758864028607,0.1,0.03,3,100,reg:squarederror,0.5,0.029106384930279727
0.7834718256518602,0.7543654407215805,967886.7978721024,1012064.4697515819,0.21090792268480224,0.2223758864028607,0.05,0.03,3,100,reg:squarederror,0.5,0.029106384930279727
0.7834718256518602,0.7543654407215805,967886.7978721024,1012064.4697515819,0.21090792268480224,0.2223758864028607,0.01,0.03,3,100,reg:squarederror,0.5,0.029106384930279727
0.7834150915444388,0.7505107942100218,968013.5910647525,1019974.5230116596,0.21316832698363136,0.2269124460684083,0.1,0.03,3,100,reg:squarederror,0.8,0.03290429733441702
0.7834150915444388,0.7505107942100218,968013.5910647525,1019974.5230116596,0.21316832698363136,0.2269124460684083,0.01,0.03,3,100,reg:squarederror,0.8,0.03290429733441702
0.7834150915444388,0.7505107942100218,968013.5910647525,1019974.5230116596,0.21316832698363136,0.2269124460684083,0.05,0.03,3,100,reg:squarederror,0.8,0.03290429733441702
0.5069487315939971,0.4724749567274348,1460539.8103691677,1483149.6878639262,0.27189017996195436,0.2728840172012695,0.1,0.03,5,40,reg:squarederror,0.8,0.034473774866562334
0.5069487315939971,0.4724749567274348,1460539.8103691677,1483149.6878639262,0.27189017996195436,0.2728840172012695,0.01,0.03,5,40,reg:squarederror,0.8,0.034473774866562334
0.5069487315939971,0.4724749567274348,1460539.8103691677,1483149.6878639262,0.27189017996195436,0.2728840172012695,0.05,0.03,5,40,reg:squarederror,0.8,0.034473774866562334
0.8004298681584336,0.7651510885184063,929212.687599263,989595.5178736496,0.2174072034982116,0.23111846753104695,0.01,0.05,3,80,reg:squarederror,0.5,0.03527877964002735
