R2_train,R2_test,RMSE_train,RMSE_test,MAPE_train,MAPE_test,C,degree,kernel,diff
0.7278464178087531,0.6816171480498967,1085929.03970855,1138269.1770151688,0.2424373004573748,0.2643769844081346,900000,5,linear,0.04622926975885644
0.7278464178087531,0.6816171480498967,1085929.03970855,1138269.1770151688,0.2424373004573748,0.2643769844081346,900000,4,linear,0.04622926975885644
0.7278464178087531,0.6816171480498967,1085929.03970855,1138269.1770151688,0.2424373004573748,0.2643769844081346,900000,3,linear,0.04622926975885644
0.7278464178087531,0.6816171480498967,1085929.03970855,1138269.1770151688,0.2424373004573748,0.2643769844081346,900000,2,linear,0.04622926975885644
0.7281353088753132,0.6815893020219194,1085352.5297608199,1138318.9529094095,0.2421351816262135,0.2641539088363222,1000000,3,linear,0.04654600685339383
0.7281353088753132,0.6815893020219194,1085352.5297608199,1138318.9529094095,0.2421351816262135,0.2641539088363222,1000000,2,linear,0.04654600685339383
0.7281353088753132,0.6815893020219194,1085352.5297608199,1138318.9529094095,0.2421351816262135,0.2641539088363222,1000000,4,linear,0.04654600685339383
0.7281353088753132,0.6815893020219194,1085352.5297608199,1138318.9529094095,0.2421351816262135,0.2641539088363222,1000000,5,linear,0.04654600685339383
0.7272063648606237,0.6800259837224658,1087205.2380600858,1141109.9645061987,0.24249241387029835,0.26450752081826806,800000,5,linear,0.04718038113815792
0.7272063648606237,0.6800259837224658,1087205.2380600858,1141109.9645061987,0.24249241387029835,0.26450752081826806,800000,4,linear,0.04718038113815792
0.7272063648606237,0.6800259837224658,1087205.2380600858,1141109.9645061987,0.24249241387029835,0.26450752081826806,800000,3,linear,0.04718038113815792
0.7272063648606237,0.6800259837224658,1087205.2380600858,1141109.9645061987,0.24249241387029835,0.26450752081826806,800000,2,linear,0.04718038113815792
0.7255455551291476,0.6779240231959096,1090509.7526934054,1144851.8962274455,0.242747930072872,0.26469294142461147,600000,2,linear,0.04762153193323804
0.7255455551291476,0.6779240231959096,1090509.7526934054,1144851.8962274455,0.242747930072872,0.26469294142461147,600000,5,linear,0.04762153193323804
0.7255455551291476,0.6779240231959096,1090509.7526934054,1144851.8962274455,0.242747930072872,0.26469294142461147,600000,3,linear,0.04762153193323804
0.7255455551291476,0.6779240231959096,1090509.7526934054,1144851.8962274455,0.242747930072872,0.26469294142461147,600000,4,linear,0.04762153193323804
