R2_train,R2_test,RMSE_train,RMSE_test,MAPE_train,MAPE_test,learning_rate,loss,max_depth,max_features,n_estimators,diff
0.7707542912535219,0.7510665692868967,978332.9930826558,1061500.2741732246,0.19926250682417057,0.21627149833258702,0.3,absolute_error,3,log2,45,0.01968772196662516
0.7707542912535219,0.7510665692868967,978332.9930826558,1061500.2741732246,0.19926250682417057,0.21627149833258702,0.3,absolute_error,3,sqrt,45,0.01968772196662516
0.771820905060333,0.7514844812486715,976054.3897110011,1060608.8711925996,0.19758378875005222,0.2155741592129814,0.3,absolute_error,3,sqrt,50,0.020336423811661453
0.771820905060333,0.7514844812486715,976054.3897110011,1060608.8711925996,0.19758378875005222,0.2155741592129814,0.3,absolute_error,3,log2,50,0.020336423811661453
0.7386854580552566,0.7171057973342482,1044522.6975437824,1131593.703454229,0.207935685717536,0.22219604958968703,0.1,absolute_error,3,log2,45,0.021579660721008476
0.7386854580552566,0.7171057973342482,1044522.6975437824,1131593.703454229,0.207935685717536,0.22219604958968703,0.1,absolute_error,3,sqrt,45,0.021579660721008476
0.7450482099147391,0.7226989082299913,1031727.7819403284,1120351.469615326,0.20524131036656562,0.22013503195112816,0.1,absolute_error,3,sqrt,50,0.022349301684747802
0.7450482099147391,0.7226989082299913,1031727.7819403284,1120351.469615326,0.20524131036656562,0.22013503195112816,0.1,absolute_error,3,log2,50,0.022349301684747802
0.7683235932958395,0.7418895622341775,983505.9615031652,1080889.460476784,0.19163602000265464,0.21282304324306422,0.1,absolute_error,3,log2,100,0.02643403106166209
0.7683235932958395,0.7418895622341775,983505.9615031652,1080889.460476784,0.19163602000265464,0.21282304324306422,0.1,absolute_error,3,sqrt,100,0.02643403106166209
0.7694632937655098,0.7420059458131121,981083.8673529944,1080645.7431577984,0.2227876121903295,0.23759470880004008,0.1,huber,3,log2,50,0.027457347952397737
0.7694632937655098,0.7420059458131121,981083.8673529944,1080645.7431577984,0.2227876121903295,0.23759470880004008,0.1,huber,3,sqrt,50,0.027457347952397737
0.764864964690958,0.7370928344578058,990820.0002617446,1090886.8583362896,0.22787777014870833,0.24220973199021065,0.1,huber,3,sqrt,45,0.02777213023315217
0.764864964690958,0.7370928344578058,990820.0002617446,1090886.8583362896,0.22787777014870833,0.24220973199021065,0.1,huber,3,log2,45,0.02777213023315217
0.7745240561337123,0.7444303315841105,970255.691981822,1075556.3117248814,0.18807971793655198,0.2110705007099051,0.1,absolute_error,3,log2,120,0.030093724549601797
0.7745240561337123,0.7444303315841105,970255.691981822,1075556.3117248814,0.18807971793655198,0.2110705007099051,0.1,absolute_error,3,sqrt,120,0.030093724549601797
0.794338011931584,0.7637018677589026,926644.4036800122,1034209.7860233686,0.18140637804965204,0.21132407753579463,0.3,absolute_error,3,sqrt,100,0.030636144172681457
0.794338011931584,0.7637018677589026,926644.4036800122,1034209.7860233686,0.18140637804965204,0.21132407753579463,0.3,absolute_error,3,log2,100,0.030636144172681457
0.777070147225437,0.7452636540448956,964762.0396285997,1073801.375294116,0.23892167154700178,0.25233314715296484,0.1,squared_error,3,log2,50,0.031806493180541406
0.777070147225437,0.7452636540448956,964762.0396285997,1073801.375294116,0.23892167154700178,0.25233314715296484,0.1,squared_error,3,sqrt,50,0.031806493180541406
0.7716524392156314,0.7394873232662889,976414.6363152207,1085907.7410421765,0.24468945220854166,0.25711034511229813,0.1,squared_error,3,log2,45,0.03216511594934257
0.7716524392156314,0.7394873232662889,976414.6363152207,1085907.7410421765,0.24468945220854166,0.25711034511229813,0.1,squared_error,3,sqrt,45,0.03216511594934257
0.7984864412498426,0.7654789790505918,917251.0736658461,1030313.4909488361,0.17823207026097615,0.20939919650521283,0.3,absolute_error,3,log2,120,0.03300746219925077
0.7984864412498426,0.7654789790505918,917251.0736658461,1030313.4909488361,0.17823207026097615,0.20939919650521283,0.3,absolute_error,3,sqrt,120,0.03300746219925077
0.7968035493140204,0.7577283520166849,921073.2110179467,1047200.3897800354,0.20443847695243017,0.2262599344493007,0.1,huber,3,log2,100,0.03907519729733555
0.7968035493140204,0.7577283520166849,921073.2110179467,1047200.3897800354,0.20443847695243017,0.2262599344493007,0.1,huber,3,sqrt,100,0.03907519729733555
0.8029524094272527,0.7591535202359122,907030.0109324296,1044115.7572418782,0.200744621033977,0.22524026948898804,0.1,huber,3,log2,120,0.04379888919134045
0.8029524094272527,0.7591535202359122,907030.0109324296,1044115.7572418782,0.200744621033977,0.22524026948898804,0.1,huber,3,sqrt,120,0.04379888919134045
0.8057995475343456,0.7598494922084558,900453.3354240459,1042606.0797275249,0.21611558271671621,0.23973768341032944,0.1,squared_error,3,sqrt,100,0.045950055325889805
0.8057995475343456,0.7598494922084558,900453.3354240459,1042606.0797275249,0.21611558271671621,0.23973768341032944,0.1,squared_error,3,log2,100,0.045950055325889805
0.8027494703531682,0.7554182674414187,907496.9652874704,1052181.125611064,0.20351076645376198,0.23535910665680815,0.3,huber,3,log2,45,0.047331202911749526
0.8027494703531682,0.7554182674414187,907496.9652874704,1052181.125611064,0.20351076645376198,0.23535910665680815,0.3,huber,3,sqrt,45,0.047331202911749526
0.805541640572611,0.7564582779428559,901051.058364687,1049941.7000369995,0.20102415351196387,0.23463003619842157,0.3,huber,3,log2,50,0.0490833626297551
0.805541640572611,0.7564582779428559,901051.058364687,1049941.7000369995,0.20102415351196387,0.23463003619842157,0.3,huber,3,sqrt,50,0.0490833626297551
