R2_train,R2_test,RMSE_train,RMSE_test,MAPE_train,MAPE_test,eta,learning_rate,max_depth,n_estimators,objective,subsample,diff
0.443750240043812,0.4072685405383685,1552491.881806088,1553098.9661272974,0.26880324143711787,0.27716529236330484,0.01,0.03,3,40,reg:squarederror,0.3,0.036481699505443554
0.443750240043812,0.4072685405383685,1552491.881806088,1553098.9661272974,0.26880324143711787,0.27716529236330484,0.1,0.03,3,40,reg:squarederror,0.3,0.036481699505443554
0.443750240043812,0.4072685405383685,1552491.881806088,1553098.9661272974,0.26880324143711787,0.27716529236330484,0.05,0.03,3,40,reg:squarederror,0.3,0.036481699505443554
0.4486391141665135,0.40941207992047335,1545654.4064496758,1550288.1282305932,0.26956133650072495,0.27800075882579695,0.01,0.03,3,40,reg:squarederror,0.5,0.03922703424604013
0.4486391141665135,0.40941207992047335,1545654.4064496758,1550288.1282305932,0.26956133650072495,0.27800075882579695,0.1,0.03,3,40,reg:squarederror,0.5,0.03922703424604013
0.4486391141665135,0.40941207992047335,1545654.4064496758,1550288.1282305932,0.26956133650072495,0.27800075882579695,0.05,0.03,3,40,reg:squarederror,0.5,0.03922703424604013
0.4508055097210817,0.4100379100762461,1542614.8414281514,1549466.5111670697,0.2707221750765564,0.28070338212985063,0.01,0.03,3,40,reg:squarederror,0.8,0.04076759964483556
0.4508055097210817,0.4100379100762461,1542614.8414281514,1549466.5111670697,0.2707221750765564,0.28070338212985063,0.1,0.03,3,40,reg:squarederror,0.8,0.04076759964483556
0.4508055097210817,0.4100379100762461,1542614.8414281514,1549466.5111670697,0.2707221750765564,0.28070338212985063,0.05,0.03,3,40,reg:squarederror,0.8,0.04076759964483556
0.7138270129385971,0.6667482543280101,1113547.4761247542,1164545.2224308911,0.2069279233495606,0.2289339040270809,0.1,0.05,3,40,reg:squarederror,0.5,0.04707875861058697
0.7138270129385971,0.6667482543280101,1113547.4761247542,1164545.2224308911,0.2069279233495606,0.2289339040270809,0.05,0.05,3,40,reg:squarederror,0.5,0.04707875861058697
0.7138270129385971,0.6667482543280101,1113547.4761247542,1164545.2224308911,0.2069279233495606,0.2289339040270809,0.01,0.05,3,40,reg:squarederror,0.5,0.04707875861058697
0.7095081045861994,0.6612198521797645,1121918.8107630003,1174164.966156603,0.207025112391076,0.2286422265796331,0.05,0.05,3,40,reg:squarederror,0.3,0.04828825240643486
0.7095081045861994,0.6612198521797645,1121918.8107630003,1174164.966156603,0.207025112391076,0.2286422265796331,0.01,0.05,3,40,reg:squarederror,0.3,0.04828825240643486
0.7095081045861994,0.6612198521797645,1121918.8107630003,1174164.966156603,0.207025112391076,0.2286422265796331,0.1,0.05,3,40,reg:squarederror,0.3,0.04828825240643486
0.7508322433918175,0.7018137237867976,1039059.3162093263,1101574.7364887793,0.20575271797369796,0.2296029882073625,0.1,0.03,3,80,reg:squarederror,0.3,0.049018519605019906
0.7508322433918175,0.7018137237867976,1039059.3162093263,1101574.7364887793,0.20575271797369796,0.2296029882073625,0.01,0.03,3,80,reg:squarederror,0.3,0.049018519605019906
0.7508322433918175,0.7018137237867976,1039059.3162093263,1101574.7364887793,0.20575271797369796,0.2296029882073625,0.05,0.03,3,80,reg:squarederror,0.3,0.049018519605019906
0.713538734906876,0.6641707100747617,1114108.2042275146,1169040.150222388,0.20628397523087025,0.2305478267085153,0.05,0.05,3,40,reg:squarederror,0.8,0.04936802483211433
0.713538734906876,0.6641707100747617,1114108.2042275146,1169040.150222388,0.20628397523087025,0.2305478267085153,0.01,0.05,3,40,reg:squarederror,0.8,0.04936802483211433
0.713538734906876,0.6641707100747617,1114108.2042275146,1169040.150222388,0.20628397523087025,0.2305478267085153,0.1,0.05,3,40,reg:squarederror,0.8,0.04936802483211433
