codigo,precio,zona,barrio_sector,tipo_pisos,baños_familiares,area_bruta,ciudad,numero_niveles,tipo_cocina,parqueaderos,alcobas_familiares,estrato,area_total,juegos_infantiles,balcon,zona_ropas,camaras_cctv,cancha_polideportiva,ascensor,cancha_squash,zona_bbq,patio,unidad_cerrada_conjunto,zonas_verdes,aire_acondicionado,jacuzzi,red_de_Gas,turco,porteria_24_7,sauna,calentador_de_agua,terraza,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,dispositivos_automatizacion,alarma
Código 1305413  / Barrio Caribe,1350000.0,centro,barrio caribe,ceramica,1.0,100.0,medellin zona 1 - centro,1.0,semi-integral,0.0,3.0,3.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1305403  / Centro,920000.0,centro,centro,baldosa comun,1.0,40.0,medellin zona 1 - centro,1.0,semi-integral,0.0,1.0,4.0,40.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1305402  / Manrique,1100000.0,centro,manrique,baldosa comun,1.0,40.0,medellin zona 1 - centro,1.0,integral,0.0,2.0,3.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1305317  / Manrique,800000.0,centro,manrique,ceramica,1.0,60.0,medellin zona 1 - centro,1.0,sencilla,0.0,2.0,3.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1305295  / Campo Valdes,750000.0,centro,campo valdes,ceramica,1.0,65.0,medellin zona 1 - centro,1.0,integral,0.0,1.0,3.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1305223  / Sevilla,1000000.0,centro,sevilla,ceramica,1.0,45.0,medellin zona 1 - centro,1.0,integral,0.0,2.0,3.0,45.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1305222  / Boston,500000.0,centro,boston,ceramica,1.0,20.0,medellin zona 1 - centro,1.0,integral,0.0,1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1305194  / Boston,1600000.0,centro,boston,ceramica,1.0,60.0,medellin zona 1 - centro,2.0,integral,0.0,1.0,4.0,60.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1305148  / Loreto,1550000.0,centro,loreto,ceramica,1.0,70.0,medellin zona 1 - centro,1.0,semi-integralcon red de gas,0.0,3.0,3.0,70.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1305138  / La Milagrosa,850000.0,centro,la milagrosa,ceramica,1.0,47.0,medellin zona 1 - centro,1.0,semi-integral,0.0,2.0,3.0,47.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1305106  / Campo Valdes,550000.0,centro,campo valdes,ceramica,1.0,50.0,medellin zona 1 - centro,1.0,sencillacon gabinetes,0.0,1.0,3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1305051  / Villa Hermosa,2100000.0,centro,villa hermosa,baldosa comun,2.0,140.0,medellin zona 1 - centro,1.0,semi-integral,0.0,4.0,3.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1305028  / Villa Hermosa,700000.0,centro,villa hermosa,ceramica,1.0,20.0,medellin zona 1 - centro,1.0,integral,0.0,1.0,4.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1305022  / Pedregal,850000.0,centro,pedregal,ceramica,1.0,52.0,medellin zona 1 - centro,1.0,integral,0.0,2.0,0.0,52.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1305006  / Florencia,800000.0,centro,florencia,ceramica,1.0,50.0,medellin zona 1 - centro,1.0,integral,0.0,2.0,3.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1304944  / Aranjuez,950000.0,centro,aranjuez,ceramica,1.0,45.0,medellin zona 1 - centro,1.0,sencillared de gas,0.0,2.0,2.0,45.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1304893  / Castilla,1200000.0,centro,castilla,baldosa comun,2.0,65.0,medellin zona 1 - centro,1.0,integral,0.0,3.0,3.0,65.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1304888  / Castilla,1600000.0,centro,castilla,baldosa comun,2.0,75.0,medellin zona 1 - centro,1.0,integral,0.0,3.0,3.0,75.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1304828  / Castilla,1800000.0,centro,castilla,baldosa comun,2.0,115.0,medellin zona 1 - centro,1.0,integral,0.0,3.0,3.0,115.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1304802  / Castilla,1800000.0,centro,castilla,baldosa comun,2.0,115.0,medellin zona 1 - centro,1.0,integral,0.0,3.0,3.0,115.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1304785  / Prado,1100000.0,centro,prado,ceramica,2.0,70.0,medellin zona 1 - centro,1.0,integral,0.0,3.0,3.0,70.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1304783  / Castilla,1800000.0,centro,castilla,baldosa comun,2.0,115.0,medellin zona 1 - centro,1.0,integral,0.0,3.0,3.0,115.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1304727  / Boston,1150000.0,centro,boston,ceramica,1.0,40.0,medellin zona 1 - centro,1.0,integral,0.0,2.0,3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1304706  / San Pablo,600000.0,centro,san pablo,ceramica,1.0,48.0,medellin zona 1 - centro,1.0,semi-integral,0.0,2.0,2.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1304695  / La Milagrosa,800000.0,centro,la milagrosa,baldosa comun,1.0,60.0,medellin zona 1 - centro,1.0,semi-integral,0.0,2.0,3.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1304669  / Encizo,950000.0,centro,encizo,ceramica,1.0,100.0,medellin zona 1 - centro,1.0,integralcon red de gas,0.0,3.0,3.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1304499  / Castilla,1100000.0,centro,castilla,ceramica,1.0,60.0,medellin zona 1 - centro,402.0,sencilla,0.0,3.0,3.0,60.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Código 1304462  / El Salvador,1800000.0,centro,el salvador,ceramica,2.0,120.0,medellin zona 1 - centro,1.0,integral,0.0,4.0,3.0,120.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1304457  / El Salvador,1950000.0,centro,el salvador,ceramica,2.0,120.0,medellin zona 1 - centro,1.0,integral,1.0,4.0,3.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1304378  / Centro,3000000.0,centro,centro,ceramica,3.0,300.0,medellin zona 1 - centro,1.0,integral,0.0,5.0,4.0,300.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1304371  / La Milagrosa,1000000.0,centro,la milagrosa,ceramica,2.0,60.0,medellin zona 1 - centro,1.0,integral,0.0,3.0,3.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1304365  / Buenos Aires,1400000.0,centro,buenos aires,ceramica,2.0,75.0,medellin zona 1 - centro,1.0,integral,1.0,2.0,3.0,75.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Código 1304280  / Manrique,1150000.0,centro,manrique,ceramica,1.0,100.0,medellin zona 1 - centro,1.0,semi-integral,0.0,2.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1304224  / Barrio Palmas,5500000.0,centro,barrio palmas,ceramica,2.0,211.0,medellin zona 1 - centro,1.0,integral,1.0,6.0,3.0,211.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Código 1304196  / Prado,6800000.0,centro,prado,baldosa comun,5.0,400.0,medellin zona 1 - centro,1.0,integral,0.0,7.0,4.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
