R2_train,R2_test,RMSE_train,RMSE_test,MAPE_train,MAPE_test,learning_rate,loss,max_depth,max_features,n_estimators,diff
0.9202798378421655,0.9031439402714619,581402.3478000636,655208.0026804268,0.1382174882887696,0.15234371539076977,0.1,absolute_error,3,log2,100,0.01713589757070355
0.9202798378421655,0.9031439402714619,581402.3478000636,655208.0026804268,0.1382174882887696,0.15234371539076977,0.1,absolute_error,3,sqrt,100,0.01713589757070355
0.9144760190184703,0.8973274534294293,602194.3113453782,674594.7571161264,0.16948055755677655,0.18165042449824464,0.1,squared_error,3,log2,50,0.017148565589040987
0.9144760190184703,0.8973274534294293,602194.3113453782,674594.7571161264,0.16948055755677655,0.18165042449824464,0.1,squared_error,3,sqrt,50,0.017148565589040987
0.9048558299414342,0.8874464612899928,635160.9440563179,706310.0268158105,0.1517888751438227,0.163532768755773,0.1,absolute_error,3,log2,50,0.01740936865144138
0.9048558299414342,0.8874464612899928,635160.9440563179,706310.0268158105,0.1517888751438227,0.163532768755773,0.1,absolute_error,3,sqrt,50,0.01740936865144138
0.9104755183009928,0.8929326302392206,616117.5817540522,688881.245683795,0.17386552285389406,0.18606622534699502,0.1,squared_error,3,log2,45,0.017542888061772177
0.9104755183009928,0.8929326302392206,616117.5817540522,688881.245683795,0.17386552285389406,0.18606622534699502,0.1,squared_error,3,sqrt,45,0.017542888061772177
0.9232216219822672,0.905012353678776,570574.2408144118,648857.5432853571,0.13511236656472916,0.1501202751659199,0.1,absolute_error,3,log2,120,0.018209268303491233
0.9232216219822672,0.905012353678776,570574.2408144118,648857.5432853571,0.13511236656472916,0.1501202751659199,0.1,absolute_error,3,sqrt,120,0.018209268303491233
0.9097172545228075,0.8914849032151619,618721.3084785258,693523.0113087824,0.16448094509803454,0.17701980468513173,0.1,huber,3,sqrt,50,0.018232351307645556
0.9097172545228075,0.8914849032151619,618721.3084785258,693523.0113087824,0.16448094509803454,0.17701980468513173,0.1,huber,3,log2,50,0.018232351307645556
0.8997447559453033,0.8813655659792109,651997.9702958217,725138.8541352724,0.15554571410019302,0.16699127425506521,0.1,absolute_error,3,sqrt,45,0.018379189966092446
0.8997447559453033,0.8813655659792109,651997.9702958217,725138.8541352724,0.15554571410019302,0.16699127425506521,0.1,absolute_error,3,log2,45,0.018379189966092446
0.93031277011724,0.9114054412459714,543587.291905034,626641.7398846303,0.14870151921777258,0.16164684905426563,0.1,squared_error,3,sqrt,100,0.01890732887126856
0.93031277011724,0.9114054412459714,543587.291905034,626641.7398846303,0.14870151921777258,0.16164684905426563,0.1,squared_error,3,log2,100,0.01890732887126856
0.9045859431752503,0.8854073213792575,636061.1576020094,712679.4402910818,0.1682327057542976,0.18086534354728398,0.1,huber,3,sqrt,45,0.019178621795992834
0.9045859431752503,0.8854073213792575,636061.1576020094,712679.4402910818,0.1682327057542976,0.18086534354728398,0.1,huber,3,log2,45,0.019178621795992834
0.926517337954141,0.9069331994272377,558193.9627706845,642263.4187061281,0.14605403353435106,0.15990745065251244,0.1,huber,3,log2,100,0.019584138526903327
0.926517337954141,0.9069331994272377,558193.9627706845,642263.4187061281,0.14605403353435106,0.15990745065251244,0.1,huber,3,sqrt,100,0.019584138526903327
0.9333845910094534,0.9133091931319279,531471.5773655806,619872.424977995,0.14515693466382057,0.15939085099271996,0.1,squared_error,3,log2,120,0.020075397877525436
0.9333845910094534,0.9133091931319279,531471.5773655806,619872.424977995,0.14515693466382057,0.15939085099271996,0.1,squared_error,3,sqrt,120,0.020075397877525436
0.9297451962362948,0.9092979986440063,545796.4505299381,634051.0551358198,0.14304491009740294,0.1573131878766417,0.1,huber,3,log2,120,0.020447197592288524
0.9297451962362948,0.9092979986440063,545796.4505299381,634051.0551358198,0.14304491009740294,0.1573131878766417,0.1,huber,3,sqrt,120,0.020447197592288524
0.9173799154159687,0.8921397406441047,591882.5171636734,691427.3027316253,0.14330572454844487,0.16185371742404164,0.3,absolute_error,3,sqrt,45,0.02524017477186402
0.9173799154159687,0.8921397406441047,591882.5171636734,691427.3027316253,0.14330572454844487,0.16185371742404164,0.3,absolute_error,3,log2,45,0.02524017477186402
0.9015858444429884,0.8752595959713428,645983.5810202371,743565.7339989055,0.15660276246453156,0.17849096188571473,0.5,absolute_error,3,sqrt,45,0.026326248471645552
0.9015858444429884,0.8752595959713428,645983.5810202371,743565.7339989055,0.15660276246453156,0.17849096188571473,0.5,absolute_error,3,log2,45,0.026326248471645552
0.917966268540216,0.8910253500659483,589778.4881299165,694989.9683363596,0.14215410502995773,0.16151311319777464,0.3,absolute_error,3,log2,50,0.026940918474267717
0.917966268540216,0.8910253500659483,589778.4881299165,694989.9683363596,0.14215410502995773,0.16151311319777464,0.3,absolute_error,3,sqrt,50,0.026940918474267717
0.9034829252037551,0.8735266328520374,639727.1314806859,748712.9332321635,0.15471852797880822,0.17799930955071863,0.5,absolute_error,3,sqrt,50,0.029956292351717706
0.9034829252037551,0.8735266328520374,639727.1314806859,748712.9332321635,0.15471852797880822,0.17799930955071863,0.5,absolute_error,3,log2,50,0.029956292351717706
0.9258555152550486,0.8942944801584751,560702.0193704317,684486.0914045144,0.1560927199856311,0.17212530774856688,0.3,squared_error,3,log2,45,0.031561035096573486
0.9258555152550486,0.8942944801584751,560702.0193704317,684486.0914045144,0.1560927199856311,0.17212530774856688,0.3,squared_error,3,sqrt,45,0.031561035096573486
0.921609784185222,0.8892588471453019,576532.2748248475,700600.2933178848,0.154050567550542,0.1725528684072174,0.3,huber,3,log2,45,0.03235093703992009
