R2_train,R2_test,RMSE_train,RMSE_test,MAPE_train,MAPE_test,colsample_bytree,eta,gamma,learning_rate,max_depth,n_estimators,objective,subsample,diff
0.5060852116014987,0.4216892628213621,1297740.1773601398,1429225.2655537166,0.2385423406788676,0.2543185051398053,0.2,0.07,100,0.04,4,80,reg:squarederror,0.2,0.08439594878013656
0.5060852116014987,0.4216892628213621,1297740.1773601398,1429225.2655537166,0.2385423406788676,0.2543185051398053,0.2,0.01,100,0.04,4,80,reg:squarederror,0.2,0.08439594878013656
0.5060852116014987,0.4216892628213621,1297740.1773601398,1429225.2655537166,0.2385423406788676,0.2543185051398053,0.2,0.07,0,0.04,4,80,reg:squarederror,0.2,0.08439594878013656
0.5060852116014987,0.4216892628213621,1297740.1773601398,1429225.2655537166,0.2385423406788676,0.2543185051398053,0.2,0.05,0,0.04,4,80,reg:squarederror,0.2,0.08439594878013656
0.5060852116014987,0.4216892628213621,1297740.1773601398,1429225.2655537166,0.2385423406788676,0.2543185051398053,0.2,0.01,50,0.04,4,80,reg:squarederror,0.2,0.08439594878013656
0.5060852116014987,0.4216892628213621,1297740.1773601398,1429225.2655537166,0.2385423406788676,0.2543185051398053,0.2,0.01,0,0.04,4,80,reg:squarederror,0.2,0.08439594878013656
0.5060852116014987,0.4216892628213621,1297740.1773601398,1429225.2655537166,0.2385423406788676,0.2543185051398053,0.2,0.05,100,0.04,4,80,reg:squarederror,0.2,0.08439594878013656
0.5060852116014987,0.4216892628213621,1297740.1773601398,1429225.2655537166,0.2385423406788676,0.2543185051398053,0.2,0.05,50,0.04,4,80,reg:squarederror,0.2,0.08439594878013656
0.5060852116014987,0.4216892628213621,1297740.1773601398,1429225.2655537166,0.2385423406788676,0.2543185051398053,0.2,0.07,50,0.04,4,80,reg:squarederror,0.2,0.08439594878013656
0.41317826098726607,0.3278128208542703,1414538.6963194981,1540867.0543489365,0.23446684089005868,0.24878089841330014,0.2,0.05,100,0.04,4,60,reg:squarederror,0.2,0.08536544013299574
0.41317826098726607,0.3278128208542703,1414538.6963194981,1540867.0543489365,0.23446684089005868,0.24878089841330014,0.2,0.05,50,0.04,4,60,reg:squarederror,0.2,0.08536544013299574
0.41317826098726607,0.3278128208542703,1414538.6963194981,1540867.0543489365,0.23446684089005868,0.24878089841330014,0.2,0.01,0,0.04,4,60,reg:squarederror,0.2,0.08536544013299574
0.41317826098726607,0.3278128208542703,1414538.6963194981,1540867.0543489365,0.23446684089005868,0.24878089841330014,0.2,0.05,0,0.04,4,60,reg:squarederror,0.2,0.08536544013299574
0.41317826098726607,0.3278128208542703,1414538.6963194981,1540867.0543489365,0.23446684089005868,0.24878089841330014,0.2,0.07,0,0.04,4,60,reg:squarederror,0.2,0.08536544013299574
0.41317826098726607,0.3278128208542703,1414538.6963194981,1540867.0543489365,0.23446684089005868,0.24878089841330014,0.2,0.01,100,0.04,4,60,reg:squarederror,0.2,0.08536544013299574
0.41317826098726607,0.3278128208542703,1414538.6963194981,1540867.0543489365,0.23446684089005868,0.24878089841330014,0.2,0.01,50,0.04,4,60,reg:squarederror,0.2,0.08536544013299574
0.41317826098726607,0.3278128208542703,1414538.6963194981,1540867.0543489365,0.23446684089005868,0.24878089841330014,0.2,0.07,50,0.04,4,60,reg:squarederror,0.2,0.08536544013299574
0.41317826098726607,0.3278128208542703,1414538.6963194981,1540867.0543489365,0.23446684089005868,0.24878089841330014,0.2,0.07,100,0.04,4,60,reg:squarederror,0.2,0.08536544013299574
0.415028906060123,0.32948828707317934,1412306.4372830407,1538945.505167953,0.23261335745790168,0.24694385833933516,0.2,0.07,0,0.04,5,60,reg:squarederror,0.2,0.08554061898694365
0.415028906060123,0.32948828707317934,1412306.4372830407,1538945.505167953,0.23261335745790168,0.24694385833933516,0.2,0.05,50,0.04,5,60,reg:squarederror,0.2,0.08554061898694365
0.415028906060123,0.32948828707317934,1412306.4372830407,1538945.505167953,0.23261335745790168,0.24694385833933516,0.2,0.07,50,0.04,5,60,reg:squarederror,0.2,0.08554061898694365
0.415028906060123,0.32948828707317934,1412306.4372830407,1538945.505167953,0.23261335745790168,0.24694385833933516,0.2,0.05,100,0.04,5,60,reg:squarederror,0.2,0.08554061898694365
0.415028906060123,0.32948828707317934,1412306.4372830407,1538945.505167953,0.23261335745790168,0.24694385833933516,0.2,0.01,50,0.04,5,60,reg:squarederror,0.2,0.08554061898694365
0.415028906060123,0.32948828707317934,1412306.4372830407,1538945.505167953,0.23261335745790168,0.24694385833933516,0.2,0.05,0,0.04,5,60,reg:squarederror,0.2,0.08554061898694365
0.415028906060123,0.32948828707317934,1412306.4372830407,1538945.505167953,0.23261335745790168,0.24694385833933516,0.2,0.07,100,0.04,5,60,reg:squarederror,0.2,0.08554061898694365
0.415028906060123,0.32948828707317934,1412306.4372830407,1538945.505167953,0.23261335745790168,0.24694385833933516,0.2,0.01,0,0.04,5,60,reg:squarederror,0.2,0.08554061898694365
0.415028906060123,0.32948828707317934,1412306.4372830407,1538945.505167953,0.23261335745790168,0.24694385833933516,0.2,0.01,100,0.04,5,60,reg:squarederror,0.2,0.08554061898694365
0.49019990028563054,0.40435875773506635,1318444.016468847,1450482.3131529284,0.23695742996535565,0.25309676167653183,0.2,0.07,0,0.03,4,100,reg:squarederror,0.2,0.08584114255056419
0.49019990028563054,0.40435875773506635,1318444.016468847,1450482.3131529284,0.23695742996535565,0.25309676167653183,0.2,0.05,100,0.03,4,100,reg:squarederror,0.2,0.08584114255056419
