R2_train,R2_test,RMSE_train,RMSE_test,MAPE_train,MAPE_test,eta,learning_rate,max_depth,n_estimators,objective,subsample,diff
0.6396323164507671,0.6188390651218254,1239113.2630933484,1335588.7340429972,0.2122193115377426,0.2107165921301266,0.01,0.02,5,80,reg:squarederror,0.2,0.02079325132894172
0.6396323164507671,0.6188390651218254,1239113.2630933484,1335588.7340429972,0.2122193115377426,0.2107165921301266,0.05,0.02,5,80,reg:squarederror,0.2,0.02079325132894172
0.6396323164507671,0.6188390651218254,1239113.2630933484,1335588.7340429972,0.2122193115377426,0.2107165921301266,0.07,0.02,5,80,reg:squarederror,0.2,0.02079325132894172
0.6509294839214796,0.6280391990666246,1219536.1279845114,1319371.6331552716,0.20870751424275394,0.20872075228056622,0.05,0.02,5,80,reg:squarederror,0.3,0.022890284854855003
0.6509294839214796,0.6280391990666246,1219536.1279845114,1319371.6331552716,0.20870751424275394,0.20872075228056622,0.07,0.02,5,80,reg:squarederror,0.3,0.022890284854855003
0.6509294839214796,0.6280391990666246,1219536.1279845114,1319371.6331552716,0.20870751424275394,0.20872075228056622,0.01,0.02,5,80,reg:squarederror,0.3,0.022890284854855003
0.6651346059751804,0.6393385899852061,1194464.428315586,1299177.2093822658,0.2062501295552728,0.2080412266031132,0.01,0.02,5,80,reg:squarederror,0.5,0.025796015989974275
0.6651346059751804,0.6393385899852061,1194464.428315586,1299177.2093822658,0.2062501295552728,0.2080412266031132,0.05,0.02,5,80,reg:squarederror,0.5,0.025796015989974275
0.6651346059751804,0.6393385899852061,1194464.428315586,1299177.2093822658,0.2062501295552728,0.2080412266031132,0.07,0.02,5,80,reg:squarederror,0.5,0.025796015989974275
0.731581723265893,0.7038336683209928,1069409.72314247,1177297.9787517455,0.18420367837987456,0.19019009320590674,0.05,0.02,5,100,reg:squarederror,0.2,0.02774805494490018
0.731581723265893,0.7038336683209928,1069409.72314247,1177297.9787517455,0.18420367837987456,0.19019009320590674,0.01,0.02,5,100,reg:squarederror,0.2,0.02774805494490018
0.731581723265893,0.7038336683209928,1069409.72314247,1177297.9787517455,0.18420367837987456,0.19019009320590674,0.07,0.02,5,100,reg:squarederror,0.2,0.02774805494490018
0.7792405627846135,0.7506019243100606,969834.7152175481,1080351.5625605297,0.17678294951796283,0.1880538808283043,0.07,0.03,5,80,reg:squarederror,0.2,0.028638638474552947
0.7792405627846135,0.7506019243100606,969834.7152175481,1080351.5625605297,0.17678294951796283,0.1880538808283043,0.05,0.03,5,80,reg:squarederror,0.2,0.028638638474552947
0.7792405627846135,0.7506019243100606,969834.7152175481,1080351.5625605297,0.17678294951796283,0.1880538808283043,0.01,0.03,5,80,reg:squarederror,0.2,0.028638638474552947
0.739455062483961,0.7096836073187752,1053608.8406081225,1165612.872003075,0.18126508355071616,0.18966030675002557,0.07,0.02,5,100,reg:squarederror,0.3,0.029771455165185756
0.739455062483961,0.7096836073187752,1053608.8406081225,1165612.872003075,0.18126508355071616,0.18966030675002557,0.01,0.02,5,100,reg:squarederror,0.3,0.029771455165185756
0.739455062483961,0.7096836073187752,1053608.8406081225,1165612.872003075,0.18126508355071616,0.18966030675002557,0.05,0.02,5,100,reg:squarederror,0.3,0.029771455165185756
0.6415081099642043,0.6077182374856098,1235884.126192324,1354932.3570421734,0.21393946865378294,0.21640891373539067,0.01,0.02,7,80,reg:squarederror,0.2,0.03378987247859444
0.6415081099642043,0.6077182374856098,1235884.126192324,1354932.3570421734,0.21393946865378294,0.21640891373539067,0.07,0.02,7,80,reg:squarederror,0.2,0.03378987247859444
0.6415081099642043,0.6077182374856098,1235884.126192324,1354932.3570421734,0.21393946865378294,0.21640891373539067,0.05,0.02,7,80,reg:squarederror,0.2,0.03378987247859444
0.7877517280780338,0.7538440733999925,950955.4417890748,1073306.361867469,0.17302894387420273,0.18601611543459212,0.01,0.03,5,80,reg:squarederror,0.3,0.033907654678041355
0.7877517280780338,0.7538440733999925,950955.4417890748,1073306.361867469,0.17302894387420273,0.18601611543459212,0.07,0.03,5,80,reg:squarederror,0.3,0.033907654678041355
0.7877517280780338,0.7538440733999925,950955.4417890748,1073306.361867469,0.17302894387420273,0.18601611543459212,0.05,0.03,5,80,reg:squarederror,0.3,0.033907654678041355
0.7774649656553264,0.7426871930147931,973727.1579906902,1097360.3307716306,0.17633587783383028,0.18730561543689542,0.07,0.02,5,120,reg:squarederror,0.2,0.03477777264053328
0.7774649656553264,0.7426871930147931,973727.1579906902,1097360.3307716306,0.17633587783383028,0.18730561543689542,0.01,0.02,5,120,reg:squarederror,0.2,0.03477777264053328
0.7774649656553264,0.7426871930147931,973727.1579906902,1097360.3307716306,0.17633587783383028,0.18730561543689542,0.05,0.02,5,120,reg:squarederror,0.2,0.03477777264053328
0.7857046489677926,0.7503202767538697,955530.2957900047,1080961.4159424303,0.173192581009168,0.18684396575349785,0.07,0.02,5,120,reg:squarederror,0.3,0.03538437221392288
0.7857046489677926,0.7503202767538697,955530.2957900047,1080961.4159424303,0.173192581009168,0.18684396575349785,0.01,0.02,5,120,reg:squarederror,0.3,0.03538437221392288
0.7857046489677926,0.7503202767538697,955530.2957900047,1080961.4159424303,0.173192581009168,0.18684396575349785,0.05,0.02,5,120,reg:squarederror,0.3,0.03538437221392288
0.7529929172926777,0.7169887477486616,1025871.086588419,1150854.4644637525,0.17839300460208785,0.1886695186637776,0.05,0.02,5,100,reg:squarederror,0.5,0.036004169544016085
