R2_train,R2_test,RMSE_train,RMSE_test,MAPE_train,MAPE_test,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,diff
0.5234722351146184,0.3780439946972055,1126293.1816002263,1266138.4245221969,0.45726627179953555,0.48161302753840396,3,3,5,5,40,0.14542824041741287
0.5234722351146186,0.3780439946972056,1126293.1816002266,1266138.424522197,0.45726627179953555,0.481613027538404,3,3,5,2,40,0.14542824041741298
0.5234722351146186,0.3780439946972054,1126293.1816002266,1266138.4245221969,0.45726627179953555,0.48161302753840396,3,3,5,3,40,0.1454282404174132
0.5546354233107911,0.40616305380995743,1088842.8049500133,1237185.9040825553,0.4484888266411023,0.4869672021258091,3,3,5,5,100,0.14847236950083365
0.5546354233107911,0.40616305380995743,1088842.8049500135,1237185.9040825553,0.4484888266411022,0.4869672021258092,3,3,5,3,100,0.14847236950083365
0.5546354233107911,0.40616305380995743,1088842.8049500133,1237185.9040825553,0.4484888266411022,0.4869672021258092,3,3,5,2,100,0.14847236950083365
0.5519133813970649,0.40197024099963874,1092165.207467272,1241545.825480505,0.4476181091088708,0.4822535061920126,3,3,5,2,80,0.14994314039742618
0.5519133813970649,0.40197024099963863,1092165.207467272,1241545.8254805051,0.4476181091088708,0.4822535061920126,3,3,5,5,80,0.1499431403974263
0.5519133813970649,0.4019702409996385,1092165.207467272,1241545.825480505,0.4476181091088709,0.4822535061920128,3,3,5,3,80,0.1499431403974264
0.5470570003480812,0.3959798494799902,1098067.7231734237,1247748.5381603658,0.44340686754320896,0.4790213904906901,3,3,5,2,60,0.15107715086809104
0.5470570003480814,0.3959798494799901,1098067.7231734237,1247748.5381603658,0.44340686754320896,0.4790213904906902,3,3,5,3,60,0.15107715086809126
0.5470570003480815,0.3959798494799901,1098067.723173424,1247748.5381603658,0.4434068675432089,0.4790213904906902,3,3,5,5,60,0.15107715086809137
0.5517204239338702,0.3994398435832569,1092400.339176529,1244169.6816570803,0.4531809825257575,0.4935559262539337,3,3,5,2,150,0.15228058035061331
0.5517204239338704,0.399439843583257,1092400.3391765289,1244169.6816570803,0.4531809825257576,0.4935559262539339,3,3,5,3,150,0.15228058035061343
0.5517204239338704,0.3994398435832569,1092400.339176529,1244169.6816570805,0.4531809825257576,0.49355592625393374,3,3,5,5,150,0.15228058035061354
0.5595177050328841,0.3979918934770924,1082858.1721401843,1245668.6248181162,0.4453263838261589,0.4842150038693341,3,3,5,3,200,0.1615258115557917
0.5595177050328841,0.3979918934770924,1082858.172140184,1245668.6248181162,0.445326383826159,0.4842150038693341,3,3,5,5,200,0.1615258115557917
0.5595177050328841,0.3979918934770923,1082858.172140184,1245668.6248181162,0.4453263838261589,0.4842150038693341,3,3,5,2,200,0.16152581155579182
0.5860122788283044,0.41876037563538804,1049786.7334588903,1223993.0810001497,0.4336582947493939,0.4848356608745736,3,3,1,3,80,0.16725190319291638
0.5764713513340322,0.40741208284244046,1061814.7312853793,1235884.120374535,0.44072562180782865,0.48564838985232045,3,3,3,3,80,0.1690592684915917
