R2_train,R2_test,RMSE_train,RMSE_test,MAPE_train,MAPE_test,ccp_alpha,max_depth,max_features,min_samples_leaf,min_samples_split,splitter,diff
0.4298342268354274,0.42062638535749663,1231992.0962233364,1222026.7499342873,0.4561196983159312,0.4621287840458074,4.444444444444445,3,log2,5,5,random,0.009207841477930745
0.4298342268354274,0.42062638535749663,1231992.0962233364,1222026.7499342873,0.4561196983159312,0.4621287840458074,2.2222222222222223,3,log2,5,2,random,0.009207841477930745
0.4298342268354274,0.42062638535749663,1231992.0962233364,1222026.7499342873,0.4561196983159312,0.4621287840458074,0.5555555555555556,3,sqrt,5,2,random,0.009207841477930745
0.4298342268354274,0.42062638535749663,1231992.0962233364,1222026.7499342873,0.4561196983159312,0.4621287840458074,0.5555555555555556,3,sqrt,5,3,random,0.009207841477930745
0.4298342268354274,0.42062638535749663,1231992.0962233364,1222026.7499342873,0.4561196983159312,0.4621287840458074,0.5555555555555556,3,sqrt,5,5,random,0.009207841477930745
0.4298342268354274,0.42062638535749663,1231992.0962233364,1222026.7499342873,0.4561196983159312,0.4621287840458074,2.2222222222222223,3,sqrt,5,5,random,0.009207841477930745
0.4298342268354274,0.42062638535749663,1231992.0962233364,1222026.7499342873,0.4561196983159312,0.4621287840458074,2.2222222222222223,3,sqrt,5,2,random,0.009207841477930745
0.4298342268354274,0.42062638535749663,1231992.0962233364,1222026.7499342873,0.4561196983159312,0.4621287840458074,0.5555555555555556,3,log2,5,2,random,0.009207841477930745
0.4298342268354274,0.42062638535749663,1231992.0962233364,1222026.7499342873,0.4561196983159312,0.4621287840458074,2.2222222222222223,3,log2,5,3,random,0.009207841477930745
0.4298342268354274,0.42062638535749663,1231992.0962233364,1222026.7499342873,0.4561196983159312,0.4621287840458074,0.5555555555555556,3,log2,5,3,random,0.009207841477930745
0.4298342268354274,0.42062638535749663,1231992.0962233364,1222026.7499342873,0.4561196983159312,0.4621287840458074,0.5555555555555556,3,log2,5,5,random,0.009207841477930745
0.4298342268354274,0.42062638535749663,1231992.0962233364,1222026.7499342873,0.4561196983159312,0.4621287840458074,0.0,3,log2,5,3,random,0.009207841477930745
0.4298342268354274,0.42062638535749663,1231992.0962233364,1222026.7499342873,0.4561196983159312,0.4621287840458074,5.0,3,sqrt,5,2,random,0.009207841477930745
0.4298342268354274,0.42062638535749663,1231992.0962233364,1222026.7499342873,0.4561196983159312,0.4621287840458074,0.0,3,log2,5,2,random,0.009207841477930745
0.4298342268354274,0.42062638535749663,1231992.0962233364,1222026.7499342873,0.4561196983159312,0.4621287840458074,5.0,3,sqrt,5,3,random,0.009207841477930745
0.4298342268354274,0.42062638535749663,1231992.0962233364,1222026.7499342873,0.4561196983159312,0.4621287840458074,5.0,3,sqrt,5,5,random,0.009207841477930745
0.4298342268354274,0.42062638535749663,1231992.0962233364,1222026.7499342873,0.4561196983159312,0.4621287840458074,5.0,3,log2,5,2,random,0.009207841477930745
0.4298342268354274,0.42062638535749663,1231992.0962233364,1222026.7499342873,0.4561196983159312,0.4621287840458074,0.0,3,log2,5,5,random,0.009207841477930745
0.4298342268354274,0.42062638535749663,1231992.0962233364,1222026.7499342873,0.4561196983159312,0.4621287840458074,5.0,3,log2,5,3,random,0.009207841477930745
0.4298342268354274,0.42062638535749663,1231992.0962233364,1222026.7499342873,0.4561196983159312,0.4621287840458074,2.2222222222222223,3,log2,5,5,random,0.009207841477930745
0.4298342268354274,0.42062638535749663,1231992.0962233364,1222026.7499342873,0.4561196983159312,0.4621287840458074,2.7777777777777777,3,sqrt,5,3,random,0.009207841477930745
0.4298342268354274,0.42062638535749663,1231992.0962233364,1222026.7499342873,0.4561196983159312,0.4621287840458074,3.8888888888888893,3,sqrt,5,2,random,0.009207841477930745
