R2_train,R2_test,RMSE_train,RMSE_test,MAPE_train,MAPE_test,eta,learning_rate,max_depth,n_estimators,objective,subsample,diff
0.7004426258443696,0.6999518998540399,986759.8374298585,1006548.904523901,0.20017526204482794,0.20300461238184103,0.01,0.02,5,80,reg:squarederror,0.2,0.0004907259903296213
0.7004426258443696,0.6999518998540399,986759.8374298585,1006548.904523901,0.20017526204482794,0.20300461238184103,0.05,0.02,5,80,reg:squarederror,0.2,0.0004907259903296213
0.7004426258443696,0.6999518998540399,986759.8374298585,1006548.904523901,0.20017526204482794,0.20300461238184103,0.07,0.02,5,80,reg:squarederror,0.2,0.0004907259903296213
0.6966178249301429,0.6951143443346371,993039.4173569055,1014630.5531918553,0.2044546622108868,0.20639514795105465,0.05,0.02,7,80,reg:squarederror,0.2,0.0015034805955057573
0.6966178249301429,0.6951143443346371,993039.4173569055,1014630.5531918553,0.2044546622108868,0.20639514795105465,0.01,0.02,7,80,reg:squarederror,0.2,0.0015034805955057573
0.6966178249301429,0.6951143443346371,993039.4173569055,1014630.5531918553,0.2044546622108868,0.20639514795105465,0.07,0.02,7,80,reg:squarederror,0.2,0.0015034805955057573
0.7117432688473216,0.7081381772777655,967968.4139384239,992723.0025113674,0.19786431116693057,0.2006618403660638,0.01,0.02,5,80,reg:squarederror,0.3,0.003605091569556129
0.7117432688473216,0.7081381772777655,967968.4139384239,992723.0025113674,0.19786431116693057,0.2006618403660638,0.05,0.02,5,80,reg:squarederror,0.3,0.003605091569556129
0.7117432688473216,0.7081381772777655,967968.4139384239,992723.0025113674,0.19786431116693057,0.2006618403660638,0.07,0.02,5,80,reg:squarederror,0.3,0.003605091569556129
0.6937205772811084,0.68915787529641,997769.828451531,1024493.8939420357,0.20891726191729262,0.2114642613205712,0.01,0.02,11,80,reg:squarederror,0.2,0.004562701984698325
0.6937205772811084,0.68915787529641,997769.828451531,1024493.8939420357,0.20891726191729262,0.2114642613205712,0.07,0.02,11,80,reg:squarederror,0.2,0.004562701984698325
0.6937205772811084,0.68915787529641,997769.828451531,1024493.8939420357,0.20891726191729262,0.2114642613205712,0.05,0.02,11,80,reg:squarederror,0.2,0.004562701984698325
0.694857880978945,0.6902398289696927,995915.6021779272,1022709.3527221793,0.20769410663178153,0.20948814408314753,0.07,0.02,9,80,reg:squarederror,0.2,0.004618052009252249
0.694857880978945,0.6902398289696927,995915.6021779272,1022709.3527221793,0.20769410663178153,0.20948814408314753,0.05,0.02,9,80,reg:squarederror,0.2,0.004618052009252249
0.694857880978945,0.6902398289696927,995915.6021779272,1022709.3527221793,0.20769410663178153,0.20948814408314753,0.01,0.02,9,80,reg:squarederror,0.2,0.004618052009252249
0.694064219620888,0.6892956267832175,997209.9276505297,1024266.8635872093,0.2084216611736449,0.21066766686749358,0.07,0.02,10,80,reg:squarederror,0.2,0.0047685928376705045
0.694064219620888,0.6892956267832175,997209.9276505297,1024266.8635872093,0.2084216611736449,0.21066766686749358,0.01,0.02,10,80,reg:squarederror,0.2,0.0047685928376705045
0.694064219620888,0.6892956267832175,997209.9276505297,1024266.8635872093,0.2084216611736449,0.21066766686749358,0.05,0.02,10,80,reg:squarederror,0.2,0.0047685928376705045
0.7914059635342193,0.7850893374046041,823421.8769919955,851860.3834965922,0.1629519472614673,0.1711130461100158,0.05,0.02,5,100,reg:squarederror,0.2,0.006316626129615255
0.7914059635342193,0.7850893374046041,823421.8769919955,851860.3834965922,0.1629519472614673,0.1711130461100158,0.01,0.02,5,100,reg:squarederror,0.2,0.006316626129615255
0.7914059635342193,0.7850893374046041,823421.8769919955,851860.3834965922,0.1629519472614673,0.1711130461100158,0.07,0.02,5,100,reg:squarederror,0.2,0.006316626129615255
0.7907608452294154,0.7806475244956825,824694.1915186713,860618.5641793666,0.16253043563524588,0.17246334318452308,0.07,0.02,7,100,reg:squarederror,0.2,0.010113320733732833
0.7907608452294154,0.7806475244956825,824694.1915186713,860618.5641793666,0.16253043563524588,0.17246334318452308,0.01,0.02,7,100,reg:squarederror,0.2,0.010113320733732833
0.7907608452294154,0.7806475244956825,824694.1915186713,860618.5641793666,0.16253043563524588,0.17246334318452308,0.05,0.02,7,100,reg:squarederror,0.2,0.010113320733732833
0.7253145885974757,0.7151784223234969,944907.4095096203,980676.760507091,0.19486538657626823,0.19928753429463314,0.01,0.02,5,80,reg:squarederror,0.5,0.01013616627397873
0.7253145885974757,0.7151784223234969,944907.4095096203,980676.760507091,0.19486538657626823,0.19928753429463314,0.05,0.02,5,80,reg:squarederror,0.5,0.01013616627397873
0.7253145885974757,0.7151784223234969,944907.4095096203,980676.760507091,0.19486538657626823,0.19928753429463314,0.07,0.02,5,80,reg:squarederror,0.5,0.01013616627397873
0.802795533302339,0.7925579770436912,800626.2608146305,836927.4443600614,0.15980315325485545,0.1698228512703552,0.01,0.02,5,100,reg:squarederror,0.3,0.010237556258647751
0.802795533302339,0.7925579770436912,800626.2608146305,836927.4443600614,0.15980315325485545,0.1698228512703552,0.07,0.02,5,100,reg:squarederror,0.3,0.010237556258647751
0.802795533302339,0.7925579770436912,800626.2608146305,836927.4443600614,0.15980315325485545,0.1698228512703552,0.05,0.02,5,100,reg:squarederror,0.3,0.010237556258647751
0.8373690608295228,0.826011871563062,727064.6710217699,766477.2132361046,0.15034049061422547,0.16144036739865528,0.01,0.02,5,120,reg:squarederror,0.2,0.011357189266460788
0.8373690608295228,0.826011871563062,727064.6710217699,766477.2132361046,0.15034049061422547,0.16144036739865528,0.07,0.02,5,120,reg:squarederror,0.2,0.011357189266460788
0.8373690608295228,0.826011871563062,727064.6710217699,766477.2132361046,0.15034049061422547,0.16144036739865528,0.05,0.02,5,120,reg:squarederror,0.2,0.011357189266460788
0.8426027555613105,0.8304437020372808,715270.0156907438,756652.3805571881,0.14997328443122507,0.16112105791351036,0.07,0.03,5,80,reg:squarederror,0.2,0.012159053524029684
0.8426027555613105,0.8304437020372808,715270.0156907438,756652.3805571881,0.14997328443122507,0.16112105791351036,0.05,0.03,5,80,reg:squarederror,0.2,0.012159053524029684
0.8426027555613105,0.8304437020372808,715270.0156907438,756652.3805571881,0.14997328443122507,0.16112105791351036,0.01,0.03,5,80,reg:squarederror,0.2,0.012159053524029684
0.711912101565727,0.6986134435468905,967684.9016079636,1008791.4160530989,0.200781730182954,0.20525870359778356,0.01,0.02,7,80,reg:squarederror,0.3,0.013298658018836562
0.711912101565727,0.6986134435468905,967684.9016079636,1008791.4160530989,0.200781730182954,0.20525870359778356,0.07,0.02,7,80,reg:squarederror,0.3,0.013298658018836562
0.711912101565727,0.6986134435468905,967684.9016079636,1008791.4160530989,0.200781730182954,0.20525870359778356,0.05,0.02,7,80,reg:squarederror,0.3,0.013298658018836562
0.8485167327834973,0.8350182301192455,701703.7363112964,746375.5754780258,0.14911431649131007,0.16109940388311322,0.05,0.03,5,80,reg:squarederror,0.3,0.013498502664251788
0.8485167327834973,0.8350182301192455,701703.7363112964,746375.5754780258,0.14911431649131007,0.16109940388311322,0.07,0.03,5,80,reg:squarederror,0.3,0.013498502664251788
0.8485167327834973,0.8350182301192455,701703.7363112964,746375.5754780258,0.14911431649131007,0.16109940388311322,0.01,0.03,5,80,reg:squarederror,0.3,0.013498502664251788
