R2_train,R2_test,RMSE_train,RMSE_test,MAPE_train,MAPE_test,C,degree,kernel,diff
0.02227647252309617,0.022172290112585924,2056721.0451536193,2019271.02683888,0.7220195488624153,0.7231251167687738,100,2,poly,0.00010418241051024513
0.03390304954430867,0.034168411047412195,2044455.7472834964,2006846.4593625183,0.7142445178105071,0.7152274358675849,100,2,linear,0.0002653615031035228
0.03390304954430867,0.034168411047412195,2044455.7472834964,2006846.4593625183,0.7142445178105071,0.7152274358675849,100,3,linear,0.0002653615031035228
0.03390304954430867,0.034168411047412195,2044455.7472834964,2006846.4593625183,0.7142445178105071,0.7152274358675849,100,5,linear,0.0002653615031035228
0.03390304954430867,0.034168411047412195,2044455.7472834964,2006846.4593625183,0.7142445178105071,0.7152274358675849,100,4,linear,0.0002653615031035228
0.07929001163191174,0.08264064735688681,1995854.0805772082,1955839.3984862291,0.6692760276480194,0.6704883283944891,5000,4,sigmoid,0.0033506357249750707
0.07929001163191174,0.08264064735688681,1995854.0805772082,1955839.3984862291,0.6692760276480194,0.6704883283944891,5000,3,sigmoid,0.0033506357249750707
0.07929001163191174,0.08264064735688681,1995854.0805772082,1955839.3984862291,0.6692760276480194,0.6704883283944891,5000,2,sigmoid,0.0033506357249750707
0.07929001163191174,0.08264064735688681,1995854.0805772082,1955839.3984862291,0.6692760276480194,0.6704883283944891,5000,5,sigmoid,0.0033506357249750707
-0.001838548439685228,0.0018152286632757697,2081930.5026047712,2040182.0100677996,0.723309295181323,0.7236369060913205,500,5,rbf,0.0036537771029609978
-0.001838548439685228,0.0018152286632757697,2081930.5026047712,2040182.0100677996,0.723309295181323,0.7236369060913205,500,4,rbf,0.0036537771029609978
-0.001838548439685228,0.0018152286632757697,2081930.5026047712,2040182.0100677996,0.723309295181323,0.7236369060913205,500,2,rbf,0.0036537771029609978
-0.001838548439685228,0.0018152286632757697,2081930.5026047712,2040182.0100677996,0.723309295181323,0.7236369060913205,500,3,rbf,0.0036537771029609978
0.1378930338807185,0.14175091951067054,1931291.97612454,1891777.767285848,0.6149760454039063,0.6173322085635855,10000,2,sigmoid,0.0038578856299520403
0.1378930338807185,0.14175091951067054,1931291.97612454,1891777.767285848,0.6149760454039063,0.6173322085635855,10000,4,sigmoid,0.0038578856299520403
0.1378930338807185,0.14175091951067054,1931291.97612454,1891777.767285848,0.6149760454039063,0.6173322085635855,10000,3,sigmoid,0.0038578856299520403
0.1378930338807185,0.14175091951067054,1931291.97612454,1891777.767285848,0.6149760454039063,0.6173322085635855,10000,5,sigmoid,0.0038578856299520403
-0.03177238888850975,-0.026057890065026124,2112804.483362984,2068470.7118671648,0.7343971752789134,0.7342048111227736,100,4,rbf,0.005714498823483627
-0.03177238888850975,-0.026057890065026124,2112804.483362984,2068470.7118671648,0.7343971752789134,0.7342048111227736,100,3,rbf,0.005714498823483627
-0.03177238888850975,-0.026057890065026124,2112804.483362984,2068470.7118671648,0.7343971752789134,0.7342048111227736,100,5,rbf,0.005714498823483627
-0.03177238888850975,-0.026057890065026124,2112804.483362984,2068470.7118671648,0.7343971752789134,0.7342048111227736,100,2,rbf,0.005714498823483627
-0.02552143353654346,-0.01967321117031018,2106394.585664802,2062025.105776798,0.7283713798255298,0.7282534949205014,500,4,sigmoid,0.00584822236623328
-0.02552143353654346,-0.01967321117031018,2106394.585664802,2062025.105776798,0.7283713798255298,0.7282534949205014,500,3,sigmoid,0.00584822236623328
-0.02552143353654346,-0.01967321117031018,2106394.585664802,2062025.105776798,0.7283713798255298,0.7282534949205014,500,5,sigmoid,0.00584822236623328
-0.02552143353654346,-0.01967321117031018,2106394.585664802,2062025.105776798,0.7283713798255298,0.7282534949205014,500,2,sigmoid,0.00584822236623328
-0.03661275498516359,-0.030463415566583718,2117754.596942777,2072906.5920611003,0.7354530529171392,0.7351720468739201,100,2,sigmoid,0.006149339418579869
-0.03661275498516359,-0.030463415566583718,2117754.596942777,2072906.5920611003,0.7354530529171392,0.7351720468739201,100,3,sigmoid,0.006149339418579869
-0.03661275498516359,-0.030463415566583718,2117754.596942777,2072906.5920611003,0.7354530529171392,0.7351720468739201,100,4,sigmoid,0.006149339418579869
-0.03661275498516359,-0.030463415566583718,2117754.596942777,2072906.5920611003,0.7354530529171392,0.7351720468739201,100,5,sigmoid,0.006149339418579869
0.1662990437250046,0.1753616023057326,1899207.9029481446,1854364.9942831697,0.5889804339735945,0.590858233434713,20000,2,sigmoid,0.00906255858072802
0.1662990437250046,0.1753616023057326,1899207.9029481446,1854364.9942831697,0.5889804339735945,0.590858233434713,20000,5,sigmoid,0.00906255858072802
0.1662990437250046,0.1753616023057326,1899207.9029481446,1854364.9942831697,0.5889804339735945,0.590858233434713,20000,3,sigmoid,0.00906255858072802
0.1662990437250046,0.1753616023057326,1899207.9029481446,1854364.9942831697,0.5889804339735945,0.590858233434713,20000,4,sigmoid,0.00906255858072802
0.09915828638118873,0.08664598637507281,1974202.0702441668,1951564.9724063226,0.6801457944381537,0.6836246144884435,100,3,poly,0.012512300006115917
0.19970941238008943,0.186980813805096,1860763.6499615773,1841254.583922954,0.5958510797947429,0.6003405392617106,5000,4,rbf,0.012728598574993422
0.19970941238008943,0.186980813805096,1860763.6499615773,1841254.583922954,0.5958510797947429,0.6003405392617106,5000,2,rbf,0.012728598574993422
0.19970941238008943,0.186980813805096,1860763.6499615773,1841254.583922954,0.5958510797947429,0.6003405392617106,5000,5,rbf,0.012728598574993422
