R2_train,R2_test,RMSE_train,RMSE_test,MAPE_train,MAPE_test,alpha,max_iter,diff
0.7329458393957059,0.7409722639423886,1059995.0527403296,1071375.8249286644,0.2815087171207046,0.2782100552762575,0.05,800.0,0.008026424546682676
0.7329458393957059,0.7409722639423886,1059995.0527403296,1071375.8249286644,0.2815087171207046,0.2782100552762575,0.05,1000.0,0.008026424546682676
0.7329458393957059,0.7409722639423886,1059995.0527403296,1071375.8249286644,0.2815087171207046,0.2782100552762575,0.05,1500.0,0.008026424546682676
0.7329458393957059,0.7409722639423886,1059995.0527403296,1071375.8249286644,0.2815087171207046,0.2782100552762575,0.05,2000.0,0.008026424546682676
0.7329458393870782,0.740972338467938,1059995.0527574522,1071375.6708044787,0.2815084740707042,0.2782098049948614,0.5,800.0,0.008026499080859728
0.7329458393870782,0.740972338467938,1059995.0527574522,1071375.6708044787,0.2815084740707042,0.2782098049948614,0.5,1000.0,0.008026499080859728
0.7329458393870782,0.740972338467938,1059995.0527574522,1071375.6708044787,0.2815084740707042,0.2782098049948614,0.5,1500.0,0.008026499080859728
0.7329458393870782,0.740972338467938,1059995.0527574522,1071375.6708044787,0.2815084740707042,0.2782098049948614,0.5,2000.0,0.008026499080859728
0.7329458393610735,0.7409724226436247,1059995.0528090615,1071375.4967230896,0.2815082065217377,0.27820952709656777,1.0,1500.0,0.008026583282551236
0.7329458393610735,0.7409724226436247,1059995.0528090615,1071375.4967230896,0.2815082065217377,0.27820952709656777,1.0,2000.0,0.008026583282551236
0.7329458393610735,0.7409724226436247,1059995.0528090615,1071375.4967230896,0.2815082065217377,0.27820952709656777,1.0,800.0,0.008026583282551236
0.7329458393610735,0.7409724226436247,1059995.0528090615,1071375.4967230896,0.2815082065217377,0.27820952709656777,1.0,1000.0,0.008026583282551236
0.7329458393177308,0.7409725063773567,1059995.0528950796,1071375.323555667,0.28150793881360947,0.27820924941081615,1.5,800.0,0.008026667059625847
0.7329458393177308,0.7409725063773567,1059995.0528950796,1071375.323555667,0.28150793881360947,0.27820924941081615,1.5,1000.0,0.008026667059625847
0.7329458393177308,0.7409725063773567,1059995.0528950796,1071375.323555667,0.28150793881360947,0.27820924941081615,1.5,1500.0,0.008026667059625847
0.7329458393177308,0.7409725063773567,1059995.0528950796,1071375.323555667,0.28150793881360947,0.27820924941081615,1.5,2000.0,0.008026667059625847
0.7329458392570736,0.7409725900635896,1059995.0530154603,1071375.1504864478,0.28150767139261373,0.2782089718731848,2.0,800.0,0.008026750806516048
0.7329458392570736,0.7409725900635896,1059995.0530154603,1071375.1504864478,0.28150767139261373,0.2782089718731848,2.0,1000.0,0.008026750806516048
0.7329458392570736,0.7409725900635896,1059995.0530154603,1071375.1504864478,0.28150767139261373,0.2782089718731848,2.0,1500.0,0.008026750806516048
0.7329458392570736,0.7409725900635896,1059995.0530154603,1071375.1504864478,0.28150767139261373,0.2782089718731848,2.0,2000.0,0.008026750806516048
0.732945839083259,0.7409727557153486,1059995.0533604138,1071374.8079064742,0.2815071332424293,0.2782084164401728,3.0,1500.0,0.008026916632089542
0.732945839083259,0.7409727557153486,1059995.0533604138,1071374.8079064742,0.2815071332424293,0.2782084164401728,3.0,800.0,0.008026916632089542
0.732945839083259,0.7409727557153486,1059995.0533604138,1071374.8079064742,0.2815071332424293,0.2782084164401728,3.0,1000.0,0.008026916632089542
0.732945839083259,0.7409727557153486,1059995.0533604138,1071374.8079064742,0.2815071332424293,0.2782084164401728,3.0,2000.0,0.008026916632089542
