,codigo,precio,zona,barrio_sector,tipo_pisos,baños_familiares,area_bruta,ciudad,numero_niveles,tipo_cocina,parqueaderos,otras_comodidades,alcobas_familiares,estrato,area_total,juegos_infantiles,balcon,zona_ropas,camaras_cctv,cancha_polideportiva,ascensor,cancha_squash,zona_bbq,patio,unidad_cerrada_conjunto,zonas_verdes,aire_acondicionado,jacuzzi,red_de_Gas,turco,porteria_24_7,sauna,calentador_de_agua,terraza,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,dispositivos_automatizacion,alarma
0,Código 1306431  / Loma de los Bernal,"EN ARRIENDO $2,400,000",Apartamento en Arriendo Loma de los Bernal Medellin ,Loma de los Bernal,Ceramica,2,70 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 (),,2,5,70 M2.,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0
1,Código 1306378  / Rosales,"EN ARRIENDO $2,300,000",Apartamento en Arriendo Rosales Medellin ,Rosales,Ceramica,2,90 M2. aproximadamente,Medellin Zona 4 - Belen,2,Integral,0 (),,3,4,90 M2.,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2,Código 1306362  / Belen Parque,"EN ARRIENDO $1,600,000",Apartamento en Arriendo Belen Parque Medellin ,Belen Parque,Ceramica,2,60 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,0 (),,2,4,60 M2.,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Código 1306356  / La Mota,"EN ARRIENDO $2,300,000",Apartamento en Arriendo La Mota Medellin ,La Mota,Ceramica,2,80 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 (),,3,4,80 M2.,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
4,Código 1306340  / Loma de los Bernal,"EN ARRIENDO $1,500,000",Apartamento en Arriendo Loma de los Bernal Medellin ,Loma de los Bernal,Ceramica,1,58 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 (),,2,5,58 M2.,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0
5,Código 1306334  / Santa Fé,"EN ARRIENDO $3,600,000",Apartamento en Arriendo Santa Fé Medellin ,Santa Fé,Ceramica,2 + Baño de servicio,160 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 (),,3 + Alcoba de servicio,4,160 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6,Código 1306329  / Guayabal,"EN ARRIENDO $1,900,000",Apartamento en Arriendo Guayabal Medellin ,Guayabal,Ceramica,2,65 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 (),,3,4,65 M2.,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0
7,Código 1306324  / Belén Los Alpes,"EN ARRIENDO $700,000",Apartamento en Arriendo Belén Los Alpes Medellin ,Belén Los Alpes,Ceramica,1,28 M2. aproximadamente,Medellin Zona 4 - Belen,1,Semi-Integral,0 (),,1,3,28 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,Código 1306322  / Belén La Palma,"EN ARRIENDO $750,000",Apartamento en Arriendo Belén La Palma Medellin ,Belén La Palma,Ceramica,1,20 M2. aproximadamente,Medellin Zona 4 - Belen,1,Sencilla,0 (),,1,5,20 M2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,Código 1306316  / Belén La Palma,"EN ARRIENDO $750,000",Apartamento en Arriendo Belén La Palma Medellin ,Belén La Palma,Ceramica,1,25 M2. aproximadamente,Medellin Zona 4 - Belen,1,Sencilla,0 (),,1,5,25 M2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
