,codigo,precio,zona,barrio_sector,tipo_pisos,baños_familiares,area_bruta,ciudad,numero_niveles,tipo_cocina,parqueaderos,otras_comodidades,alcobas_familiares,estrato,area_total,juegos_infantiles,balcon,zona_ropas,camaras_cctv,cancha_polideportiva,ascensor,cancha_squash,zona_bbq,patio,unidad_cerrada_conjunto,zonas_verdes,aire_acondicionado,jacuzzi,red_de_Gas,turco,porteria_24_7,sauna,calentador_de_agua,terraza,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,dispositivos_automatizacion,alarma
33,Código 1296611  / BARICHARA,"EN ARRIENDO $1,100,000",Apartamento en Arriendo BARICHARA  San Antonio de Prado,BARICHARA,Ceramica,1,45 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,2,3,45 M2.,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,Código 1296483  / BARICHARA,"EN ARRIENDO $1,100,000",Apartamento en Arriendo BARICHARA  San Antonio de Prado,BARICHARA,Ceramica,1,44 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,2,3,44 M2.,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
35,Código 1296468  / BARICHARA,"EN ARRIENDO $1,100,000",Apartamento en Arriendo BARICHARA  San Antonio de Prado,BARICHARA,Ceramica,1,44 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,2,3,44 M2.,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
36,Código 1294965  / el vergel,"EN ARRIENDO $850,000",Apartamento en Arriendo el vergel  San Antonio de Prado,el vergel,Ceramica,1,60 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,3,3,60 M2.,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
37,Código 1294150  / prado,"EN ARRIENDO $950,000",Apartamento en Arriendo prado San Antonio de Prado,prado,Ceramica,1,40 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,2,0,40 M2.,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
38,Código 1294006  / San Antonio de Prado,"EN ARRIENDO $960,000",Apartamento en Arriendo San Antonio de Prado San Antonio de Prado,San Antonio de Prado,Ceramica,1,42 M2. aproximadamente,San Antonio de Prado,1,Integralred de gas,0 (),,3,3,42 M2.,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
39,Código 1293709  / BARICHARA,"EN ARRIENDO $850,000",Apartamento en Arriendo BARICHARA San Antonio de Prado,BARICHARA,Ceramica,1,40 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (los carros ymotos lo dejan en frente de la unidad),,2,3,40 M2.,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
40,Código 1293366  / El vergel,"EN ARRIENDO $1,250,000",Apartamento en Arriendo El vergel  San Antonio de Prado,El vergel,Ceramica,2,60 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (Comúnes),,2,3,60 M2.,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0
41,Código 1292856  / Villa Loma,"EN ARRIENDO $1,000,000",Apartamento en Arriendo Villa Loma San Antonio de Prado,Villa Loma,Ceramica,"2
                                    uno cabinado",44 M2. aproximadamente,San Antonio de Prado,1,Semi-Integral,0 (),Parqueadero comun de 60 celdas para carro,"3
                                    1 closet",3,44 M2.,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
42,Código 1292360  / el vergel,"EN ARRIENDO $1,300,000",Apartamento en Arriendo el vergel San Antonio de Prado,el vergel,Ceramica,2,63 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,3,3,63 M2.,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0
