codigo,precio,zona,barrio_sector,tipo_pisos,baños_familiares,area_bruta,ciudad,numero_niveles,tipo_cocina,parqueaderos,otras_comodidades,alcobas_familiares,estrato,area_total,juegos_infantiles,balcon,zona_ropas,camaras_cctv,cancha_polideportiva,ascensor,cancha_squash,zona_bbq,patio,unidad_cerrada_conjunto,zonas_verdes,aire_acondicionado,jacuzzi,red_de_Gas,turco,porteria_24_7,sauna,calentador_de_agua,terraza,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,dispositivos_automatizacion,alarma
Código 1317715  / La Candelaria,"EN ARRIENDO $1,200,000",Apartamento en Arriendo La Candelaria Medellin ,La Candelaria,Ceramica,1,50 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (parqueadero si lo solicita ya es con la administracion),,2,4,50 M2.,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Código 1317534  / Las Brisas,"EN ARRIENDO $1,200,000",Apartamento en Arriendo Las Brisas Medellin ,Las Brisas,Ceramica,1,70 M2. aproximadamente,Medellin Zona 1 - Centro,2,Integral,0 (),,2,3,70 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Código 1316191  / Aranjuez,"EN ARRIENDO $1,200,000",Apartamento en Arriendo Aranjuez Medellin ,Aranjuez,Ceramica,1,76 M2. aproximadamente,Medellin Zona 1 - Centro,1,Semi-Integral,0 (),,1,2,76 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Código 1316184  / Aranjuez,"EN ARRIENDO $1,200,000",Apartamento en Arriendo Aranjuez Medellin ,Aranjuez,Ceramica,1,74 M2. aproximadamente,Medellin Zona 1 - Centro,1,SencillaRed de gas,0 (),,1,2,74 M2.,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Código 1316073  / La Milagrosa,"EN ARRIENDO $1,250,000",Apartamento en Arriendo La Milagrosa Medellin ,La Milagrosa,Ceramica,1,66 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (),,1,4,66 M2.,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
Código 1315763  / Centro,"EN ARRIENDO $690,000",Apartamento en Arriendo Centro Medellin ,Centro,Ceramica,1,18 M2. aproximadamente,Medellin Zona 1 - Centro,4,Integral,0 (),,1,0,18 M2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1315694  / Villa Hermosa,"EN ARRIENDO $1,200,000",Apartamento en Arriendo Villa Hermosa Medellin ,Villa Hermosa,Ceramica,1,80 M2. aproximadamente,Medellin Zona 1 - Centro,1,Semi-Integral,0 (),,2,3,80 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1315291  / Buenos Aires,"EN ARRIENDO $1,000,000",Apartamento en Arriendo Buenos Aires Medellin ,Buenos Aires,Ceramica,1,52 M2. aproximadamente,Medellin Zona 1 - Centro,1,Sencilla,0 (),,2,3,52 M2.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1314791  / Buenos Aires,"EN ARRIENDO $2,100,000",Apartamento en Arriendo Buenos Aires Medellin ,Buenos Aires,Ceramica,2,83 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (),,3,3,83 M2.,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1314684  / Aranjuez,"EN ARRIENDO $1,000,000",Apartamento en Arriendo Aranjuez Medellin ,Aranjuez,Ceramica,1,45 M2. aproximadamente,Medellin Zona 1 - Centro,1,SencillaRed de gas,0 (Solo moto),,2,3,45 M2.,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
