codigo,precio,zona,barrio_sector,tipo_pisos,baños_familiares,area_bruta,ciudad,numero_niveles,tipo_cocina,parqueaderos,otras_comodidades,alcobas_familiares,estrato,area_total,juegos_infantiles,balcon,zona_ropas,camaras_cctv,cancha_polideportiva,ascensor,cancha_squash,zona_bbq,patio,unidad_cerrada_conjunto,zonas_verdes,aire_acondicionado,jacuzzi,red_de_Gas,turco,porteria_24_7,sauna,calentador_de_agua,terraza,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,dispositivos_automatizacion,alarma
Código 1338976  / Provenza,"EN ARRIENDO $5,500,000",Apartamento en Arriendo Provenza Medellin ,Provenza,Ceramica,2,87 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,1 + cuarto útil (),,2,5,87 M2.,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0
Código 1338960  / San Diego,"EN ARRIENDO $4,600,000",Apartamento en Arriendo San Diego Medellin ,San Diego,Porcelanato,3,65 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,1 (),,2,4,65 M2.,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0
Código 1338904  / Los Balsos,"EN ARRIENDO $4,500,000",Apartamento en Arriendo Los Balsos Medellin ,Los Balsos,Ceramica,3,90 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 + cuarto útil (),,2,6,90 M2.,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0
Código 1338872  / Loma Los Gonzalez,"EN ARRIENDO $5,100,000",Apartamento en Arriendo Loma Los Gonzalez Medellin ,Loma Los Gonzalez,Ceramica,3 + Baño de servicio,118 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 (),,3 + Alcoba de servicio,6,118 M2.,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0
Código 1338871  / Los Balsos,"EN ARRIENDO $6,000,000",Apartamento en Arriendo Los Balsos Medellin ,Los Balsos,"Madera, Madera",3 + Baño de servicio,165 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 + cuarto útil (),,3 + Alcoba de servicio,6,165 M2.,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0
Código 1338867  / Transv. Intermedia,"EN ARRIENDO $5,200,000",Apartamento en Arriendo Transv. Intermedia Medellin ,Transv. Intermedia,Ceramica,2,70 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,1 (),,2,5,70 M2.,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0
Código 1338863  / Loma Los Gonzalez,"EN ARRIENDO $5,200,000",Apartamento en Arriendo Loma Los Gonzalez Medellin ,Loma Los Gonzalez,Ceramica,3,80 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 + cuarto útil (),,2,6,80 M2.,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0
Código 1338832  / Oviedo,"EN ARRIENDO $3,900,000",Apartamento en Arriendo Oviedo Medellin ,Oviedo,Ceramica,2,80 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,1 (),,2,6,80 M2.,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0
Código 1338792  / Aguacatala,"EN ARRIENDO $3,300,000",Apartamento en Arriendo Aguacatala Medellin ,Aguacatala,Ceramica,"2
                                    CABINADOS",70 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,1 + cuarto útil (),,"3
                                    2 CLOSET 
1 VESTIER",6,70 M2.,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0
Código 1338782  / El Poblado,"EN ARRIENDO $10,700,000",Apartamento en Arriendo El Poblado Medellin ,El Poblado,Madera laminada,5 + Baño de servicio,275 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 (),,4 + Alcoba de servicio,6,275 M2.,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0
Código 1338765  / La Frontera,"EN ARRIENDO $5,300,000",Apartamento en Arriendo La Frontera Medellin ,La Frontera,Ceramica,3,122 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,1 + cuarto útil (),,3,5,122 M2.,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0
Código 1338759  / San Lucas,"EN ARRIENDO $3,200,000",Apartamento en Arriendo San Lucas Medellin ,San Lucas,Ceramica,2,84 M2. aproximadamente,Medellin Zona 2 - El Poblado,2,Integral,2 (),,3,6,84 M2.,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0
Código 1338722  / San Diego,"EN ARRIENDO $4,000,000",Apartamento en Arriendo San Diego Medellin ,San Diego,Ceramica,2,80 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,1 + cuarto útil (),,3,5,80 M2.,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0
Código 1338710  / Santa Ma. los Angeles,"EN ARRIENDO $4,200,000",Apartamento en Arriendo Santa Ma. los Angeles Medellin ,Santa Ma. los Angeles,Ceramica,2,84 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,1 (),,3,6,84 M2.,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0
Código 1337590  / Vizcaya,"EN ARRIENDO $4,600,000",Apartamento en Arriendo Vizcaya Medellin ,Vizcaya,Madera,3 + Baño de servicio,140 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 + cuarto útil (),,3 + Alcoba de servicio,6,140 M2.,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0
Código 1332097  / Castropol,"EN ARRIENDO $4,350,000",Apartamento en Arriendo Castropol Medellin ,Castropol,Marmol,2,170 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 (),,3 + Alcoba de servicio,5,170 M2.,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Código 1338655  / Loma de San Julian,"EN ARRIENDO $5,000,000",Apartamento en Arriendo Loma de San Julian Medellin ,Loma de San Julian,Madera laminada,2,80 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,"Integralcocina Abierta con barra americana, que conecta a la zona social y al balcón. Horno y lavaplatos. Acabados en Madera e Iluminación Led.",2 + cuarto útil (Doble lineal),,"3
                                    La habitación Principal cuenta con baño y vestier",5,80 M2.,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0
Código 1338645  / Ciudad del Rio,"EN ARRIENDO $3,300,000",Apartamento en Arriendo Ciudad del Rio Medellin ,Ciudad del Rio,Ceramica,1,45 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Semi-Integral,1 + cuarto útil (),,1,6,45 M2.,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0
Código 1338618  / Alejandria,"EN ARRIENDO $9,200,000",Apartamento en Arriendo Alejandria Medellin ,Alejandria,Ceramica,5,260 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,3 (),,4 + Alcoba de servicio,6,260 M2.,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Código 1338613  / Castropol,"EN ARRIENDO $2,150,000",Apartamento en Arriendo Castropol Medellin ,Castropol,Ceramica,1,50 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,1 (),,1,0,50 M2.,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0
Código 1337653  / Transv. Superior,"EN ARRIENDO $4,500,000",Apartamento en Arriendo Transv. Superior Medellin ,Transv. Superior,Madera laminada,3 + Baño de servicio,140 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,"IntegralCocina integral totalmente independiente con dos puertas de acceso, acabados en madera, horno y campana extractora. Amplia y espaciosa con Gabinetes superiores e inferiores &  mesón en Aluminio.",2 + cuarto útil (),,"3 + Alcoba de servicio
                                    ( la habitación Principal cuenta con baño bañera closet y vestier)",6,140 M2.,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0
Código 1337631  / El Poblado,"EN ARRIENDO $11,000,000",Apartamento en Arriendo El Poblado Medellin ,El Poblado,Ceramica,4,140 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 (),,3,6,140 M2.,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0
