codigo,precio,zona,barrio_sector,tipo_pisos,baños_familiares,area_bruta,ciudad,numero_niveles,tipo_cocina,parqueaderos,otras_comodidades,alcobas_familiares,estrato,area_total,juegos_infantiles,balcon,zona_ropas,camaras_cctv,cancha_polideportiva,ascensor,cancha_squash,zona_bbq,patio,unidad_cerrada_conjunto,zonas_verdes,aire_acondicionado,jacuzzi,red_de_Gas,turco,porteria_24_7,sauna,calentador_de_agua,terraza,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,dispositivos_automatizacion,alarma
Código 1337617  / EL VERGEL,"EN ARRIENDO $1,200,000",Apartamento en Arriendo EL VERGEL San Antonio de Prado,EL VERGEL,Ceramica,2,55 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,3,3,55 M2.,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0
Código 1337583  / EL VERGEL,"EN ARRIENDO $1,250,000",Apartamento en Arriendo EL VERGEL San Antonio de Prado,EL VERGEL,Ceramica,2,55 M2. aproximadamente,San Antonio de Prado,1,Integral,1 (),,3,3,55 M2.,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0
Código 1337562  / Prados del sol,"EN ARRIENDO $950,000",Apartamento en Arriendo Prados del sol San Antonio de Prado,Prados del sol,Ceramica,1,55 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,2,3,55 M2.,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Código 1337436  / Barichara,"EN ARRIENDO $950,000",Apartamento en Arriendo Barichara  San Antonio de Prado,Barichara,Ceramica,1,55 M2. aproximadamente,San Antonio de Prado,2,Integral,0 (),,2,3,55 M2.,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
Código 1337405  / SAN ANTONIO DE PRADO,"EN ARRIENDO $1,150,000",Apartamento en Arriendo SAN ANTONIO DE PRADO San Antonio de Prado,SAN ANTONIO DE PRADO,Ceramica,2,55 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (PARQUEADERO COMUN),,3,3,55 M2.,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
Código 1336791  / El Vergel,"EN ARRIENDO $1,000,000",Apartamento en Arriendo El Vergel San Antonio de Prado,El Vergel,Ceramica,1,39 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,2,3,39 M2.,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0
Código 1336725  / BARICHARA,"EN ARRIENDO $1,250,000",Apartamento en Arriendo BARICHARA San Antonio de Prado,BARICHARA,Ceramica,2,70 M2. aproximadamente,San Antonio de Prado,1,Semi-Integral,0 (),,3,3,70 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1335670  / Limonar,"EN ARRIENDO $800,000",Apartamento en Arriendo Limonar San Antonio de Prado,Limonar,Ceramica,1,60 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,3,0,60 M2.,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1335190  / Potrerito,"EN ARRIENDO $1,350,000",Apartamento en Arriendo Potrerito  San Antonio de Prado,Potrerito,Ceramica,1,45 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,2,3,45 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Código 1334923  / Barichara,"EN ARRIENDO $1,150,000",Apartamento en Arriendo Barichara San Antonio de Prado,Barichara,Ceramica,1,50 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,2,3,50 M2.,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
