R2_train,R2_test,RMSE_train,RMSE_test,MAPE_train,MAPE_test,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,diff
0.6942376608619238,0.6741218146274495,810558.729171263,836499.1533741105,0.30742917588737745,0.29624410364947185,2,10,1,3,200,0.020115846234474377
0.6942376608619238,0.6741218146274495,810558.729171263,836499.1533741105,0.30742917588737745,0.2962441036494719,2,10,3,2,200,0.020115846234474377
0.6942376608619238,0.6741218146274495,810558.729171263,836499.1533741105,0.30742917588737745,0.29624410364947196,2,10,5,5,200,0.020115846234474377
0.6942376608619238,0.6741218146274495,810558.729171263,836499.1533741105,0.3074291758873774,0.29624410364947185,2,10,1,5,200,0.020115846234474377
0.6942376608619238,0.6741218146274495,810558.729171263,836499.1533741105,0.3074291758873774,0.29624410364947196,2,10,1,2,200,0.020115846234474377
0.6942376608619238,0.6741218146274495,810558.729171263,836499.1533741105,0.30742917588737745,0.29624410364947185,2,10,5,3,200,0.020115846234474377
0.6942376608619238,0.6741218146274495,810558.729171263,836499.1533741105,0.3074291758873774,0.2962441036494719,2,10,3,5,200,0.020115846234474377
0.6942376608619238,0.6741218146274495,810558.729171263,836499.1533741105,0.3074291758873774,0.2962441036494719,2,10,3,3,200,0.020115846234474377
0.6942376608619238,0.6741218146274495,810558.729171263,836499.1533741105,0.30742917588737734,0.2962441036494719,2,10,5,2,200,0.020115846234474377
0.6943197252884488,0.6734756042913077,810449.9477868353,837328.1236939912,0.30758851963066136,0.2969596789319503,2,10,5,5,150,0.020844120997141058
0.6943197252884488,0.6734756042913077,810449.9477868353,837328.1236939912,0.3075885196306614,0.29695967893195024,2,10,1,5,150,0.020844120997141058
0.6943197252884488,0.6734756042913077,810449.9477868353,837328.1236939911,0.3075885196306614,0.29695967893195024,2,10,3,3,150,0.020844120997141058
0.6943197252884488,0.6734756042913077,810449.9477868353,837328.1236939912,0.3075885196306614,0.29695967893195024,2,10,3,2,150,0.020844120997141058
0.6943197252884488,0.6734756042913077,810449.9477868353,837328.1236939912,0.30758851963066125,0.29695967893195024,2,10,1,3,150,0.020844120997141058
0.6943197252884488,0.6734756042913077,810449.9477868353,837328.1236939912,0.3075885196306614,0.29695967893195024,2,10,3,5,150,0.020844120997141058
0.6943197252884488,0.6734756042913077,810449.9477868353,837328.1236939912,0.3075885196306614,0.29695967893195024,2,10,1,2,150,0.020844120997141058
0.6943197252884488,0.6734756042913077,810449.9477868353,837328.1236939913,0.3075885196306614,0.29695967893195024,2,10,5,3,150,0.020844120997141058
0.6943197252884488,0.6734756042913077,810449.9477868353,837328.1236939912,0.30758851963066136,0.2969596789319502,2,10,5,2,150,0.020844120997141058
0.6945112159165701,0.6724691058070766,810196.0585193237,838617.6460796514,0.3081569026765201,0.29752606708813684,2,10,3,5,100,0.022042110109493418
0.6945112159165701,0.6724691058070766,810196.0585193237,838617.6460796514,0.30815690267652,0.29752606708813684,2,10,3,3,100,0.022042110109493418
0.6945112159165701,0.6724691058070766,810196.0585193237,838617.6460796513,0.30815690267652013,0.29752606708813684,2,10,5,2,100,0.022042110109493418
0.6945112159165701,0.6724691058070766,810196.0585193237,838617.6460796514,0.30815690267652013,0.29752606708813684,2,10,5,5,100,0.022042110109493418
0.6945112159165701,0.6724691058070766,810196.0585193237,838617.6460796513,0.30815690267652013,0.29752606708813684,2,10,3,2,100,0.022042110109493418
0.6945112159165701,0.6724691058070766,810196.0585193237,838617.6460796514,0.30815690267652013,0.29752606708813684,2,10,5,3,100,0.022042110109493418
0.6945112159165701,0.6724691058070766,810196.0585193236,838617.6460796513,0.30815690267652013,0.29752606708813684,2,10,1,3,100,0.022042110109493418
0.6945112159165701,0.6724691058070766,810196.0585193237,838617.6460796514,0.30815690267652013,0.29752606708813684,2,10,1,2,100,0.022042110109493418
0.6945112159165701,0.6724691058070766,810196.0585193237,838617.6460796513,0.30815690267652013,0.29752606708813684,2,10,1,5,100,0.022042110109493418
0.6939504546249646,0.6710309291727092,810939.323592045,840456.7996676957,0.3094704666691634,0.29915604442595933,2,10,1,2,60,0.022919525452255396
0.6939504546249646,0.6710309291727092,810939.323592045,840456.7996676957,0.30947046666916345,0.29915604442595933,2,10,5,2,60,0.022919525452255396
0.6939504546249646,0.6710309291727092,810939.323592045,840456.7996676958,0.30947046666916345,0.29915604442595933,2,10,1,3,60,0.022919525452255396
0.6939504546249646,0.6710309291727092,810939.323592045,840456.7996676958,0.30947046666916345,0.29915604442595933,2,10,5,5,60,0.022919525452255396
0.6939504546249646,0.6710309291727092,810939.323592045,840456.7996676957,0.3094704666691634,0.29915604442595933,2,10,3,2,60,0.022919525452255396
0.6939504546249646,0.6710309291727092,810939.323592045,840456.7996676957,0.30947046666916345,0.29915604442595933,2,10,1,5,60,0.022919525452255396
0.6939504546249646,0.6710309291727092,810939.323592045,840456.7996676957,0.30947046666916345,0.29915604442595933,2,10,3,3,60,0.022919525452255396
0.6939504546249646,0.6710309291727092,810939.323592045,840456.7996676957,0.30947046666916345,0.29915604442595933,2,10,3,5,60,0.022919525452255396
0.6939504546249646,0.6710309291727092,810939.323592045,840456.7996676957,0.3094704666691634,0.29915604442595933,2,10,5,3,60,0.022919525452255396
0.6892548986702192,0.6658019621116886,817136.549986569,847110.0008394691,0.30149704660484017,0.29196632037258313,2,12,5,5,80,0.023452936558530535
0.6892548986702192,0.6658019621116886,817136.549986569,847110.0008394694,0.3014970466048401,0.29196632037258313,2,12,5,3,80,0.023452936558530535
