R2_train,R2_test,RMSE_train,RMSE_test,MAPE_train,MAPE_test,eta,learning_rate,max_depth,n_estimators,objective,subsample,diff
0.38506077041427844,0.37933036020147104,1150510.2505832906,1149339.1990931067,0.27336265730689335,0.2639687858936111,0.01,0.03,3,40,reg:squarederror,0.3,0.005730410212807402
0.38506077041427844,0.37933036020147104,1150510.2505832906,1149339.1990931067,0.27336265730689335,0.2639687858936111,0.1,0.03,3,40,reg:squarederror,0.3,0.005730410212807402
0.38506077041427844,0.37933036020147104,1150510.2505832906,1149339.1990931067,0.27336265730689335,0.2639687858936111,0.05,0.03,3,40,reg:squarederror,0.3,0.005730410212807402
0.3840010105351186,0.3767500538732007,1151501.193826606,1151725.7918488206,0.27378983230248477,0.2657509476378309,0.01,0.03,3,40,reg:squarederror,0.5,0.0072509566619178845
0.3840010105351186,0.3767500538732007,1151501.193826606,1151725.7918488206,0.27378983230248477,0.2657509476378309,0.1,0.03,3,40,reg:squarederror,0.5,0.0072509566619178845
0.3840010105351186,0.3767500538732007,1151501.193826606,1151725.7918488206,0.27378983230248477,0.2657509476378309,0.05,0.03,3,40,reg:squarederror,0.5,0.0072509566619178845
0.3820794635741597,0.3737757010342735,1153295.7915434707,1154470.727131771,0.2759181039944985,0.26721371797219684,0.01,0.03,3,40,reg:squarederror,0.8,0.008303762539886184
0.3820794635741597,0.3737757010342735,1153295.7915434707,1154470.727131771,0.2759181039944985,0.26721371797219684,0.1,0.03,3,40,reg:squarederror,0.8,0.008303762539886184
0.3820794635741597,0.3737757010342735,1153295.7915434707,1154470.727131771,0.2759181039944985,0.26721371797219684,0.05,0.03,3,40,reg:squarederror,0.8,0.008303762539886184
0.7069563647442534,0.6842228578698416,794219.4880426585,819800.7526925451,0.19660363771533634,0.19564744360393943,0.1,0.05,3,40,reg:squarederror,0.5,0.02273350687441178
0.7069563647442534,0.6842228578698416,794219.4880426585,819800.7526925451,0.19660363771533634,0.19564744360393943,0.05,0.05,3,40,reg:squarederror,0.5,0.02273350687441178
0.7069563647442534,0.6842228578698416,794219.4880426585,819800.7526925451,0.19660363771533634,0.19564744360393943,0.01,0.05,3,40,reg:squarederror,0.5,0.02273350687441178
