,codigo,precio,zona,barrio_sector,tipo_pisos,baños_familiares,area_bruta,ciudad,numero_niveles,tipo_cocina,parqueaderos,otras_comodidades,alcobas_familiares,estrato,area_total,juegos_infantiles,balcon,zona_ropas,camaras_cctv,cancha_polideportiva,ascensor,cancha_squash,zona_bbq,patio,unidad_cerrada_conjunto,zonas_verdes,aire_acondicionado,jacuzzi,red_de_Gas,turco,porteria_24_7,sauna,calentador_de_agua,terraza,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,dispositivos_automatizacion,alarma
1340,Código 1110947  / Las Palmas,"EN ARRIENDO $14,000,000",Apartamento en Arriendo Las Palmas Medellin ,Las Palmas,Porcelanato,4 + Baño de servicio,200 M2. aproximadamente,Medellin Zona 2 - El Poblado,2,Integral,2 + cuarto útil (),,3 + Alcoba de servicio,6,200 M2.,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0
1341,Código 1109490  / Patio Bonito,"EN ARRIENDO $2,400,000",Apartamento en Arriendo Patio Bonito Medellin Zona 2 - El Poblado,Patio Bonito,Ceramica,1,90 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,0 (),,1,0,90 M2.,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0
1342,Código 1109480  / Transv. Superior,"EN ARRIENDO $6,400,000",Apartamento en Arriendo Transv. Superior Medellin ,Transv. Superior,Madera,3 + Baño de servicio,240 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 + cuarto útil (),,3 + Alcoba de servicio,6,240 M2.,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0
1343,Código 1109316  / Las Santas,"EN ARRIENDO $3,950,000",Apartamento en Arriendo Las Santas Medellin ,Las Santas,Porcelanato,3 + Baño de servicio,140 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 + cuarto útil (),,3 + Alcoba de servicio,6,140 M2.,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0
1344,Código 1109312  / La Calera,"EN ARRIENDO $8,500,000",Apartamento en Arriendo La Calera Medellin ,La Calera,Marmol,4 + Baño de servicio,274 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 + cuarto útil (),,3 + Alcoba de servicio,6,274 M2.,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0
1345,Código 1108245  / Loma Los Gonzalez,"EN ARRIENDO $4,700,000",Apartamento en Arriendo Loma Los Gonzalez Medellin ,Loma Los Gonzalez,Marmol,4 + Baño de servicio,180 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 + cuarto útil (),,3 + Alcoba de servicio,6,180 M2.,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
1346,Código 1106862  / Loma Los Gonzalez,"EN ARRIENDO $2,500,000",Apartamento en Arriendo Loma Los Gonzalez Medellin ,Loma Los Gonzalez,Ceramica,3,107 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,1 + cuarto útil ( 1),,3,6,107 M2.,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0
1347,Código 1106364  / Alejandria,"EN ARRIENDO $5,800,000",Apartamento en Arriendo Alejandria Medellin ,Alejandria,Porcelanato,2,71 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,1 (),,2,6,71 M2.,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
1348,Código 1105695  / Los Parra,"EN ARRIENDO $9,500,000",Apartamento en Arriendo Los Parra Medellin Zona 2 - El Poblado,Los Parra,Porcelanato,3 + Baño de servicio,188 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,3 (),,3 + Alcoba de servicio,6,188 M2.,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
1349,Código 1105537  / Provenza,"EN ARRIENDO $8,400,000",Apartamento en Arriendo Provenza Medellin Zona 2 - El Poblado,Provenza,Porcelanato,4,133 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 + cuarto útil (),,3,6,133 M2.,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0
1350,Código 1102896  / La Concha,"EN ARRIENDO $5,000,000",Apartamento en Arriendo La Concha Medellin ,La Concha,Ceramica,3,240 M2. aproximadamente,Medellin Zona 2 - El Poblado,2,IntegralAbierta,2 (),,"2
                                    Una Habitacion con baño",6,240 M2.,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
1351,Código 1101305  / Manila,"EN ARRIENDO $1,650,000",Apartamento en Arriendo Manila Medellin Zona 2 - El Poblado,Manila,Ceramica,1,30 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,0 (),,1,6,30 M2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1352,Código 1100709  / El Tesoro,"EN ARRIENDO $6,500,000",Apartamento en Arriendo El Tesoro Medellin ,El Tesoro,MarmolPiso en madera y Marmol,"5 + Baño de servicio
                                    Cuenta con 5 baños inlcuido el social.",178 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,IntegralCocina Italiana con barra Americana integrada al área social.,1 (Parqueadero doble paralelo),,"3 + Alcoba de servicio
                                    La habitación principal con bañera y balcón.",6,178 M2.,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0
1353,Código 1100504  / Las Santas,"EN ARRIENDO $3,900,000",Apartamento en Arriendo Las Santas Medellin ,Las Santas,Ceramica,3 + Baño de servicio,154 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 + cuarto útil (),,3 + Alcoba de servicio,6,154 M2.,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0
1354,Código 1099678  / San Lucas,"EN ARRIENDO $4,700,000",Apartamento en Arriendo San Lucas Medellin ,San Lucas,Madera laminada,4 + Baño de servicio,164 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 + cuarto útil (),,3 + Alcoba de servicio,6,164 M2.,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0
1355,Código 1098555  / Patio Bonito,"EN ARRIENDO $3,200,000",Apartamento en Arriendo Patio Bonito Medellin ,Patio Bonito,Ceramica,2,70 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,0 (),,2,0,70 M2.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1356,Código 1097594  / Los Balsos,"EN ARRIENDO $21,033,000",Apartamento en Arriendo Los Balsos Medellin Zona 2 - El Poblado,Los Balsos,Ceramica,1,189 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,0 (),,1,6,189 M2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
