,codigo,precio,zona,barrio_sector,tipo_pisos,baños_familiares,area_bruta,ciudad,numero_niveles,tipo_cocina,parqueaderos,otras_comodidades,alcobas_familiares,estrato,area_total,juegos_infantiles,balcon,zona_ropas,camaras_cctv,cancha_polideportiva,ascensor,cancha_squash,zona_bbq,patio,unidad_cerrada_conjunto,zonas_verdes,aire_acondicionado,jacuzzi,red_de_Gas,turco,porteria_24_7,sauna,calentador_de_agua,terraza,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,dispositivos_automatizacion,alarma
0,Código 1306374  / Laureles,"EN ARRIENDO $2,250,000",Apartamento en Arriendo Laureles Medellin ,Laureles,Retal de marmol,2 + Baño de servicio,85 M2. aproximadamente,Medellin Zona 3 - Laureles,3,Integral,1 (),,2 + Alcoba de servicio,5,85 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1,Código 1306307  / La Castellana,"EN ARRIENDO $1,300,000",Apartamento en Arriendo La Castellana Medellin ,La Castellana,Ceramica,2,70 M2. aproximadamente,Medellin Zona 3 - Laureles,1,Integral,0 (),,3,0,70 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2,Código 1306291  / Robledo,"EN ARRIENDO $1,000,000",Apartamento en Arriendo Robledo Medellin ,Robledo,Ceramica,1,45 M2. aproximadamente,Medellin Zona 3 - Laureles,1,Integral,0 (),,2,3,45 M2.,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,Código 1306288  / Robledo,"EN ARRIENDO $3,000,000",Apartamento en Arriendo Robledo Medellin ,Robledo,Ceramica,"2
                                    Cabinados en vidrio",85 M2. aproximadamente,Medellin Zona 3 - Laureles,1,IntegralCon red de gas,0 (),,"3
                                    Con closet",3,85 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4,Código 1306264  / Simón Bolivar,"EN ARRIENDO $6,500,000",Apartamento en Arriendo Simón Bolivar Medellin ,Simón Bolivar,Ceramica,2 + Baño de servicio,220 M2. aproximadamente,Medellin Zona 3 - Laureles,1,Integralcon alacenas,1 + cuarto útil (),,3 + Alcoba de servicio,4,220 M2.,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
5,Código 1306256  / El Nogal,"EN ARRIENDO $2,650,000",Apartamento en Arriendo El Nogal Medellin ,El Nogal,Ceramica,2 + Baño de servicio,120 M2. aproximadamente,Medellin Zona 3 - Laureles,1,Integral,0 (),,3 + Alcoba de servicio,0,120 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6,Código 1306253  / Simón Bolivar,"EN ARRIENDO $4,500,000",Apartamento en Arriendo Simón Bolivar Medellin ,Simón Bolivar,Ceramica,"3
                                    baño alcoba
baño familiar",220 M2. aproximadamente,Medellin Zona 3 - Laureles,1,Integralcon alacenas,1 + cuarto útil (),,"4 + Alcoba de servicio
                                    con baño",4,220 M2.,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7,Código 1306247  / Robledo,"EN ARRIENDO $1,000,000",Apartamento en Arriendo Robledo Medellin ,Robledo,Ceramica,1,54 M2. aproximadamente,Medellin Zona 3 - Laureles,1,Integral,0 (),,3,3,54 M2.,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
8,Código 1306245  / Robledo,"EN ARRIENDO $1,300,000",Apartamento en Arriendo Robledo Medellin ,Robledo,Ceramica,2,55 M2. aproximadamente,Medellin Zona 3 - Laureles,1,Semi-Integral,0 (),,3,3,55 M2.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Código 1306205  / Robledo,"EN ARRIENDO $1,200,000",Apartamento en Arriendo Robledo Medellin ,Robledo,Ceramica,2,80 M2. aproximadamente,Medellin Zona 3 - Laureles,1,Integral,0 (),,3,3,80 M2.,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
