,codigo,precio,zona,barrio_sector,tipo_pisos,baños_familiares,area_bruta,ciudad,numero_niveles,tipo_cocina,parqueaderos,otras_comodidades,alcobas_familiares,estrato,area_total,juegos_infantiles,balcon,zona_ropas,camaras_cctv,cancha_polideportiva,ascensor,cancha_squash,zona_bbq,patio,unidad_cerrada_conjunto,zonas_verdes,aire_acondicionado,jacuzzi,red_de_Gas,turco,porteria_24_7,sauna,calentador_de_agua,terraza,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,dispositivos_automatizacion,alarma
0,Código 1306444  / Castilla,"EN ARRIENDO $1,100,000",Apartamento en Arriendo Castilla Medellin ,Castilla,Ceramica,1 + Baño de servicio,95 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (),,3 + Alcoba de servicio,0,95 M2.,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
1,Código 1306376  / El Salvador,"EN ARRIENDO $950,000",Apartamento en Arriendo El Salvador Medellin ,El Salvador,Ceramica,1,70 M2. aproximadamente,Medellin Zona 1 - Centro,1,Semi-Integral,0 (),,2,3,70 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Código 1306287  / Los Angeles,"EN ARRIENDO $970,000",Apartamento en Arriendo Los Angeles Medellin ,Los Angeles,Ceramica,1,38 M2. aproximadamente,Medellin Zona 1 - Centro,1,Semi-Integral,0 (),,1,4,38 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3,Código 1306212  / Prado,"EN ARRIENDO $1,400,000",Apartamento en Arriendo Prado Medellin ,Prado,Ceramica,1,50 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,1 (),,2,0,50 M2.,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0
4,Código 1306007  / 12 de Octubre,"EN ARRIENDO $800,000",Apartamento en Arriendo 12 de Octubre Medellin ,12 de Octubre,Ceramica,"1
                                    baño familar",92 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integralcon alacenas,0 (),,3,2,92 M2.,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
5,Código 1305953  / Boston,"EN ARRIENDO $1,200,000",Apartamento en Arriendo Boston Medellin ,Boston,Ceramica,2,55 M2. aproximadamente,Medellin Zona 1 - Centro,1,IntegralAlacenas,0 (),,3,3,55 M2.,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
6,Código 1305951  / Manrique,"EN ARRIENDO $1,150,000",Apartamento en Arriendo Manrique Medellin ,Manrique,Baldosa comun,2,60 M2. aproximadamente,Medellin Zona 1 - Centro,1,Semi-Integral,0 (),,3,3,60 M2.,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7,Código 1305761  / San Pablo,"EN ARRIENDO $1,060,000",Apartamento en Arriendo San Pablo Medellin ,San Pablo,Ceramica,1,40 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (),,2,3,40 M2.,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
8,Código 1305732  / Villa Hermosa,"EN ARRIENDO $750,000",Apartamento en Arriendo Villa Hermosa Medellin ,Villa Hermosa,Ceramica,1,20 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (),,1,3,20 M2.,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Código 1305720  / Buenos Aires,"EN ARRIENDO $950,000",Apartamento en Arriendo Buenos Aires Medellin ,Buenos Aires,Ceramica,1,35 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (),,2,3,35 M2.,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0
