codigo,precio,zona,barrio_sector,tipo_pisos,baños_familiares,area_bruta,ciudad,numero_niveles,tipo_cocina,parqueaderos,otras_comodidades,alcobas_familiares,estrato,area_total,juegos_infantiles,balcon,zona_ropas,camaras_cctv,cancha_polideportiva,ascensor,cancha_squash,zona_bbq,patio,unidad_cerrada_conjunto,zonas_verdes,aire_acondicionado,jacuzzi,red_de_Gas,turco,porteria_24_7,sauna,calentador_de_agua,terraza,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,dispositivos_automatizacion,alarma
Código 1338993  / Robledo,"EN ARRIENDO $1,300,000",Apartamento en Arriendo Robledo Medellin ,Robledo,Ceramica,2,65 M2. aproximadamente,Medellin Zona 3 - Laureles,1,Integral,0 (),,3,3,65 M2.,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
Código 1338973  / Calasanz,"EN ARRIENDO $2,500,000",Apartamento en Arriendo Calasanz Medellin ,Calasanz,Porcelanato,2,70 M2. aproximadamente,Medellin Zona 3 - Laureles,1,Integral,1 (),,3,4,70 M2.,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0
Código 1338941  / Laureles,"EN ARRIENDO $2,200,000",Apartamento en Arriendo Laureles Medellin ,Laureles,Ceramica,2,65 M2. aproximadamente,Medellin Zona 3 - Laureles,1,Integral,1 (),,2,5,65 M2.,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Código 1338936  / San Javier,"EN ARRIENDO $1,650,000",Apartamento en Arriendo San Javier Medellin ,San Javier,Ceramica,"2
                                    completos cabinados",82 M2. aproximadamente,Medellin Zona 3 - Laureles,1,Semi-Integral,0 (Parqueadero Comun ),,"3
                                    con closet",3,82 M2.,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
Código 1338839  / Robledo,"EN ARRIENDO $1,500,000",Apartamento en Arriendo Robledo Medellin ,Robledo,Ceramica,1,70 M2. aproximadamente,Medellin Zona 3 - Laureles,1,Integral,1 (),,3,0,70 M2.,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0
Código 1338815  / Robledo,"EN ARRIENDO $1,000,000",Apartamento en Arriendo Robledo Medellin ,Robledo,Ceramica,1,52 M2. aproximadamente,Medellin Zona 3 - Laureles,1,Semi-Integral,0 (COMUNES),CALENTADOR,3,3,52 M2.,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
Código 1338760  / Pilarica,"EN ARRIENDO $1,600,000",Apartamento en Arriendo Pilarica Medellin ,Pilarica,Ceramica,2,55 M2. aproximadamente,Medellin Zona 3 - Laureles,1,Integral,0 (),,3,4,55 M2.,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Código 1338733  / Pilarica,"EN ARRIENDO $1,400,000",Apartamento en Arriendo Pilarica Medellin ,Pilarica,Ceramica,1,60 M2. aproximadamente,Medellin Zona 3 - Laureles,1,Integral,0 (),,2,4,60 M2.,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Código 1338730  / Los Colores,"EN ARRIENDO $3,700,000",Apartamento en Arriendo Los Colores Medellin ,Los Colores,Ceramica,2,130 M2. aproximadamente,Medellin Zona 3 - Laureles,1,Integral,1 (),,3,0,130 M2.,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Código 1338723  / Simón Bolivar,"EN ARRIENDO $2,200,000",Apartamento en Arriendo Simón Bolivar Medellin ,Simón Bolivar,Ceramica,2,90 M2. aproximadamente,Medellin Zona 3 - Laureles,1,Integral,1 (),,3 + Alcoba de servicio,5,90 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
