codigo,precio,zona,barrio_sector,tipo_pisos,baños_familiares,area_bruta,ciudad,numero_niveles,tipo_cocina,parqueaderos,otras_comodidades,alcobas_familiares,estrato,area_total,juegos_infantiles,balcon,zona_ropas,camaras_cctv,cancha_polideportiva,ascensor,cancha_squash,zona_bbq,patio,unidad_cerrada_conjunto,zonas_verdes,aire_acondicionado,jacuzzi,red_de_Gas,turco,porteria_24_7,sauna,calentador_de_agua,terraza,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,dispositivos_automatizacion,alarma
Código 1299206  / Porvenir,"EN ARRIENDO $2,800,000",Apartamento en Arriendo Porvenir Medellin ,Porvenir,Ceramica,3,180 M2. aproximadamente,Medellin Zona 4 - Belen,2,Integral,1 (),,4,4,200 M2.,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Código 1298937  / Belen La Gloria,"EN ARRIENDO $3,500,000",Apartamento en Arriendo Belen La Gloria Medellin ,Belen La Gloria,Ceramica,2,120 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,0 (),,7,3,120 M2.,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
Código 1298715  / Loma de los Bernal,"EN ARRIENDO $3,500,000",Apartamento en Arriendo Loma de los Bernal Medellin ,Loma de los Bernal,Porcelanato,2,90 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 + cuarto útil (),,3,4,90 M2.,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0
Código 1298559  / Guayabal,"EN ARRIENDO $2,470,000",Apartamento en Arriendo Guayabal Medellin ,Guayabal,Ceramica,2,75 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,0 (),,2,4,75 M2.,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Código 1298189  / Guayabal,"EN ARRIENDO $1,800,000",Apartamento en Arriendo Guayabal Medellin ,Guayabal,Ceramica,1,70 M2. aproximadamente,Medellin Zona 4 - Belen,1,IntegralCocina integral abierta con barra,0 (),,1,4,70 M2.,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Código 1297133  / Loma de los Bernal,"EN ARRIENDO $5,900,000",Apartamento en Arriendo Loma de los Bernal Medellin ,Loma de los Bernal,Porcelanato,4,120 M2. aproximadamente,Medellin Zona 4 - Belen,1,Mixta,1 + cuarto útil (Doble),,3,5,120 M2.,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0
Código 1296667  / Rosales,"EN ARRIENDO $1,500,000",Apartamento en Arriendo Rosales Medellin ,Rosales,Ceramica,1,30 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,0 (),,1,5,30 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1296220  / Belen Granada,"EN ARRIENDO $2,200,000",Apartamento en Arriendo Belen Granada Medellin ,Belen Granada,Ceramica,4,110 M2. aproximadamente,Medellin Zona 4 - Belen,2,Integral,0 (),,3,0,110 M2.,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
Código 1295764  / Guayabal,"EN ARRIENDO $3,200,000",Apartamento en Arriendo Guayabal Medellin ,Guayabal,Porcelanato,2,80 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 (),,3,5,80 M2.,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0
Código 1295758  / Guayabal,"EN ARRIENDO $2,600,000",Apartamento en Arriendo Guayabal Medellin ,Guayabal,Ceramica,2,56 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 + cuarto útil (),,2,5,56 M2.,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0
